"Country or Area","Year","Value","Value Footnotes"
"Austria","2004","57.6",""
"Austria","2003","55.3",""
"Austria","2002","48.1",""
"Austria","2001","42.2",""
"Austria","2000","36.2",""
"Austria","1999","28.8",""
"Austria","1998","23.8",""
"Austria","1997","21.3",""
"Austria","1996","17.6",""
"Austria","1995","16.4",""
"Austria","1994","11.3",""
"Austria","1993","10.1",""
"Austria","1992","8.9",""
"Austria","1991","7.7",""
"Austria","1990","6.5",""
"Belgium","2004","34.7",""
"Belgium","2003","31.7",""
"Belgium","2002","27",""
"Belgium","2001","23.3",""
"Belgium","2000","22.4",""
"Belgium","1999","22",""
"Belgium","1998","21.5",""
"Belgium","1997","20.6",""
"Belgium","1996","19.2",""
"Belgium","1995","17.8",""
"Belgium","1994","15.9",""
"Belgium","1993","13.9",""
"Belgium","1992","12",""
"Belgium","1991","10",""
"Belgium","1990","8.8",""
"Canada","2004","69.8",""
"Canada","2003","51.9",""
"Canada","2002","48.6",""
"Canada","2001","45.6",""
"Canada","2000","41.9",""
"Canada","1999","36.4",""
"Canada","1998","31.1",""
"Canada","1997","27.3",""
"Canada","1996","24.6",""
"Canada","1995","21.8",""
"Canada","1994","19.6",""
"Canada","1993","17.6",""
"Canada","1992","14.9",""
"Canada","1991","12.8",""
"Canada","1990","10.7",""
"Czech Republic","2004","21.6",""
"Czech Republic","2003","20.6",""
"Czech Republic","2002","17.6",""
"Czech Republic","2001","14.7",""
"Czech Republic","2000","12.2",""
"Czech Republic","1999","10.7",""
"Czech Republic","1998","9.7",""
"Czech Republic","1997","8.3",""
"Czech Republic","1996","6.8",""
"Czech Republic","1995","5.3",""
"Czech Republic","1994","4.4",""
"Czech Republic","1993","2.9",""
"Czech Republic","1992","2.4",""
"Czech Republic","1991","1.5",""
"Czech Republic","1990","1.2",""
"Denmark","2004","65.5",""
"Denmark","2003","61.4",""
"Denmark","2002","57.7",""
"Denmark","2001","54.2",""
"Denmark","2000","50.7",""
"Denmark","1999","45.2",""
"Denmark","1998","37.7",""
"Denmark","1997","36",""
"Denmark","1996","30.5",""
"Denmark","1995","26.8",""
"Denmark","1994","19.2",""
"Denmark","1993","17.9",""
"Denmark","1992","15.5",""
"Denmark","1991","13.4",""
"Denmark","1990","11.5",""
"Finland","2004","48.2",""
"Finland","2003","46.1",""
"Finland","2002","44.2",""
"Finland","2001","42.3",""
"Finland","2000","39.6",""
"Finland","1999","36",""
