"Country or Area","Year","Value","Value Footnotes"
"Austria","2004","7",""
"Austria","2003","7",""
"Austria","2002","7",""
"Austria","2001","7",""
"Austria","2000","8",""
"Austria","1999","8",""
"Austria","1998","7",""
"Austria","1997","7",""
"Austria","1996","7",""
"Austria","1995","7",""
"Austria","1994","7",""
"Austria","1993","7",""
"Austria","1992","7",""
"Austria","1991","7",""
"Austria","1990","7",""
"Belgium","2004","5",""
"Belgium","2003","5",""
"Belgium","2002","5",""
"Belgium","2001","5",""
"Belgium","2000","5",""
"Belgium","1999","5",""
"Belgium","1998","5",""
"Belgium","1997","5",""
"Belgium","1996","4",""
"Belgium","1995","5",""
"Belgium","1994","5",""
"Belgium","1993","5",""
"Belgium","1992","5",""
"Belgium","1991","5",""
"Belgium","1990","5",""
"Canada","2004","3",""
"Canada","2003","3",""
"Canada","2002","4",""
"Canada","2001","4",""
"Canada","2000","3",""
"Canada","1999","3",""
"Canada","1998","3",""
"Canada","1997","3",""
"Canada","1996","3",""
"Canada","1995","3",""
"Canada","1994","3",""
"Canada","1993","3",""
"Canada","1992","3",""
"Canada","1991","3",""
"Canada","1990","3",""
"Czech Republic","2004","4",""
"Czech Republic","2003","4",""
"Czech Republic","2002","4",""
"Czech Republic","2001","4",""
"Czech Republic","2000","4",""
"Czech Republic","1999","4",""
"Czech Republic","1998","4",""
"Czech Republic","1997","4",""
"Czech Republic","1996","4",""
"Czech Republic","1995","4",""
"Czech Republic","1994","3",""
"Czech Republic","1993","3",""
"Czech Republic","1992","3",""
"Czech Republic","1991","3",""
"Czech Republic","1990","3",""
"Denmark","2004","8",""
"Denmark","2003","8",""
"Denmark","2002","8",""
"Denmark","2001","8",""
"Denmark","2000","8",""
"Denmark","1999","7",""
"Denmark","1998","7",""
"Denmark","1997","7",""
"Denmark","1996","6",""
"Denmark","1995","7",""
"Denmark","1994","6",""
"Denmark","1993","6",""
"Denmark","1992","7",""
"Denmark","1991","6",""
"Denmark","1990","7",""
"Finland","2004","4",""
"Finland","2003","4",""
"Finland","2002","4",""
"Finland","2001","4",""
"Finland","2000","4",""
"Finland","1999","4",""
"Finland","1998","4",""
"Finland","1997","4",""
"Finland","1996","4",""
"Finland","1995","4",""
"Finland","1994","3",""
"Finland","1993","3",""
"Finland","1992","4",""
"Finland","1991","4",""
"Finland","1990","4",""
"France","2004","6",""
"France","2003","6",""
"France","2002","6",""
"France","2001","6",""
"France","2000","6",""
"France","1999","6",""
"France","1998","6",""
"France","1997","6",""
"France","1996","6",""
"France","1995","6",""
"France","1994","6",""
"France","1993","6",""
"France","1992","6",""
"France","1991","6",""
"France","1990","6",""
"Germany","2004","6",""
"Germany","2003","6",""
"Germany","2002","6",""
"Germany","2001","6",""
"Germany","2000","6",""
"Germany","1999","6",""
"Germany","1998","6",""
"Germany","1997","6",""
"Germany","1996","5",""
"Germany","1995","6",""
"Germany","1994","6",""
"Germany","1993","5",""
"Germany","1992","5",""
"Germany","1991","5",""
"Germany","1990","5",""
"Greece","2004","7",""
"Greece","2003","7",""
"Greece","2002","7",""
"Greece","2001","7",""
"Greece","2000","7",""
"Greece","1999","7",""
"Greece","1998","7",""
"Greece","1997","7",""
"Greece","1996","7",""
"Greece","1995","7",""
"Greece","1994","7",""
"Greece","1993","7",""
"Greece","1992","7",""
"Greece","1991","7",""
"Greece","1990","7",""
"Hungary","2004","6",""
"Hungary","2003","6",""
"Hungary","2002","6",""
"Hungary","2001","5",""
"Hungary","2000","5",""
"Hungary","1999","5",""
"Hungary","1998","5",""
"Hungary","1997","4",""
"Hungary","1996","4",""
"Hungary","1995","4",""
"Hungary","1994","4",""
"Hungary","1993","4",""
"Hungary","1992","4",""
"Hungary","1991","4",""
"Hungary","1990","4",""
"Iceland","2004","3",""
"Iceland","2003","3",""
"Iceland","2002","2",""
"Iceland","2001","3",""
"Iceland","2000","2",""
"Iceland","1999","3",""
"Iceland","1998","3",""
"Iceland","1997","3",""
"Iceland","1996","3",""
"Iceland","1995","3",""
"Iceland","1994","3",""
"Iceland","1993","3",""
"Iceland","1992","3",""
"Iceland","1991","3",""
"Iceland","1990","3",""
"Ireland","2004","9",""
"Ireland","2003","9",""
"Ireland","2002","8",""
"Ireland","2001","8",""
"Ireland","2000","8",""
"Ireland","1999","7",""
"Ireland","1998","7",""
"Ireland","1997","7",""
"Ireland","1996","6",""
"Ireland","1995","6",""
"Ireland","1994","6",""
"Ireland","1993","6",""
"Ireland","1992","6",""
"Ireland","1991","5",""
"Ireland","1990","5",""
"Italy","2004","8",""
"Italy","2003","8",""
"Italy","2002","9",""
"Italy","2001","9",""
"Italy","2000","9",""
"Italy","1999","8",""
"Italy","1998","8",""
"Italy","1997","8",""
"Italy","1996","8",""
"Italy","1995","8",""
"Italy","1994","9",""
"Italy","1993","9",""
"Italy","1992","8",""
"Italy","1991","8",""
"Italy","1990","9",""
"Japan","2004","6",""
"Japan","2003","6",""
"Japan","2002","6",""
"Japan","2001","6",""
"Japan","2000","6",""
"Japan","1999","6",""
"Japan","1998","6",""
"Japan","1997","6",""
"Japan","1996","6",""
"Japan","1995","6",""
"Japan","1994","6",""
"Japan","1993","6",""
"Japan","1992","6",""
"Japan","1991","7",""
"Japan","1990","6",""
"Luxembourg","2004","5",""
"Luxembourg","2003","6",""
"Luxembourg","2002","6",""
"Luxembourg","2001","6",""
"Luxembourg","2000","6",""
"Luxembourg","1999","6",""
"Luxembourg","1998","6",""
"Luxembourg","1997","5",""
"Luxembourg","1996","5",""
"Luxembourg","1995","5",""
"Luxembourg","1994","4",""
"Luxembourg","1993","4",""
"Luxembourg","1992","4",""
"Luxembourg","1991","4",""
"Luxembourg","1990","4",""
"Netherlands","2004","6",""
"Netherlands","2003","6",""
"Netherlands","2002","6",""
"Netherlands","2001","6",""
"Netherlands","2000","6",""
"Netherlands","1999","6",""
"Netherlands","1998","6",""
"Netherlands","1997","6",""
"Netherlands","1996","5",""
"Netherlands","1995","5",""
"Netherlands","1994","5",""
"Netherlands","1993","5",""
"Netherlands","1992","5",""
"Netherlands","1991","5",""
"Netherlands","1990","5",""
"Norway","2004","6",""
"Norway","2003","6",""
"Norway","2002","6",""
"Norway","2001","6",""
"Norway","2000","6",""
"Norway","1999","6",""
"Norway","1998","6",""
"Norway","1997","6",""
"Norway","1996","6",""
"Norway","1995","5",""
"Norway","1994","5",""
"Norway","1993","5",""
"Norway","1992","5",""
"Norway","1991","5",""
"Norway","1990","5",""
"Poland","2004","5",""
"Poland","2003","5",""
"Poland","2002","5",""
"Poland","2001","5",""
"Poland","2000","5",""
"Poland","1999","4",""
"Poland","1998","4",""
"Poland","1997","4",""
"Poland","1996","3",""
"Poland","1995","3",""
"Poland","1994","3",""
"Poland","1993","3",""
"Poland","1992","3",""
"Poland","1991","3",""
"Poland","1990","3",""
"Portugal","2004","7",""
"Portugal","2003","8",""
"Portugal","2002","7",""
"Portugal","2001","8",""
"Portugal","2000","8",""
"Portugal","1999","7",""
"Portugal","1998","8",""
"Portugal","1997","8",""
"Portugal","1996","8",""
"Portugal","1995","8",""
"Portugal","1994","8",""
