"Country or Area","Year","Value"
"Austria","2005","122.482962933841"
"Austria","2004","120.952122520754"
"Austria","2003","122.914614593092"
"Austria","2002","118.143634806476"
"Austria","2001","117.237333719442"
"Austria","2000","111.221332582451"
"Austria","1999","114.720563078278"
"Austria","1998","119.614813967975"
"Austria","1997","121.904387600242"
"Austria","1996","124.513517123624"
"Austria","1995","120.217637867935"
"Austria","1994","117.004957828016"
"Austria","1993","120.336048858236"
"Austria","1992","119.366082775773"
"Austria","1991","127.008302076582"
"Austria","1990","123.548826268836"
"Belgium","2005","170.559499915365"
"Belgium","2004","176.784892504614"
"Belgium","2003","186.20971510673"
"Belgium","2002","179.68043497021"
"Belgium","2001","188.978550081139"
"Belgium","2000","191.258994132763"
"Belgium","1999","196.547432899326"
"Belgium","1998","202.423065365892"
"Belgium","1997","201.423978875903"
"Belgium","1996","206.128936383101"
"Belgium","1995","193.747854594284"
"Belgium","1994","196.092093693148"
"Belgium","1993","198.291481531701"
"Belgium","1992","201.413764206725"
"Belgium","1991","202.114454523339"
"Belgium","1990","196.804076148149"
"Canada","2005","240.666879799009"
"Canada","2004","244.76787442753"
"Canada","2003","246.87990858878"
"Canada","2002","239.668807434727"
"Canada","2001","242.708437070358"
"Canada","2000","250.160646087371"
"Canada","1999","260.770734188498"
"Canada","1998","267.093887613407"
"Canada","1997","278.96984019857"
"Canada","1996","286.049872494116"
"Canada","1995","284.492648627969"
"Canada","1994","289.032535656286"
"Canada","1993","292.62773037042"
"Canada","1992","290.010213671348"
"Canada","1991","285.551761856735"
"Canada","1990","280.337256666379"
"Czech Republic","2005","217.800956455742"
"Czech Republic","2004","234.841612742953"
"Czech Republic","2003","239.172013952298"
"Czech Republic","2002","233.251511222313"
"Czech Republic","2001","234.45297136712"
"Czech Republic","2000","234.408663475776"
"Czech Republic","1999","231.242350747576"
"Czech Republic","1998","250.462750180872"
"Czech Republic","1997","257.272805055254"
"Czech Republic","1996","254.155467112215"
"Czech Republic","1995","256.820068394707"
"Czech Republic","1994","268.090704156011"
"Czech Republic","1993","283.166188930349"
"Czech Republic","1992","292.327058842219"
"Czech Republic","1991","298.478289436377"
"Czech Republic","1990","291.636452923568"
"Denmark","2005","107.617165761137"
"Denmark","2004","114.241651714114"
"Denmark","2003","120.053767377741"
"Denmark","2002","113.892681204309"
"Denmark","2001","116.165013814551"
"Denmark","2000","113.581281509768"
"Denmark","1999","121.087585933845"
"Denmark","1998","129.2085525861"
"Denmark","1997","133.62903971685"
"Denmark","1996","148.272674613444"
"Denmark","1995","135.085868909835"
"Denmark","1994","140.500281779209"
"Denmark","1993","143.092708359503"
"Denmark","1992","139.398070402616"
"Denmark","1991","147.854040640523"
"Denmark","1990","135.65415266747"
"Finland","2005","218.767357121069"
"Finland","2004","243.782574533556"
"Finland","2003","250.845853258197"
"Finland","2002","240.84206999605"
"Finland","2001","232.649823616557"
"Finland","2000","233.910486227605"
"Finland","1999","248.387722009117"
"Finland","1998","258.857390155944"
"Finland","1997","269.07550968736"
"Finland","1996","275.345596454846"
"Finland","1995","265.307503605732"
"Finland","1994","289.214857761416"
"Finland","1993","280.841125655398"
"Finland","1992","265.719163297231"
"Finland","1991","271.935785231609"
"Finland","1990","251.404975675804"
"France","2005","148.196238000824"
"France","2004","150.16320662226"
"France","2003","151.86113368961"
"France","2002","150.879956272092"
"France","2001","152.55110346504"
"France","2000","150.408259250676"
"France","1999","154.658696754371"
"France","1998","159.592446275198"
"France","1997","159.981553812002"
"France","1996","168.497109278185"
"France","1995","161.385088930441"
"France","1994","158.416484369866"
"France","1993","168.142929274228"
"France","1992","163.807401345106"
"France","1991","168.729965242258"
"France","1990","161.313338218757"
"Germany","2005","137.307985295207"
"Germany","2004","139.953146473308"
"Germany","2003","141.27544450479"
