"Country or Area";"Year";"Value";"Value Footnotes"
"Albania";"2006";"17987184052";""
"Albania";"2005";"16643312068";""
"Albania";"2004";"15311267419";""
"Albania";"2003";"14088549091";""
"Albania";"2002";"13062945253";""
"Albania";"2001";"12476451804";""
"Albania";"2000";"11385968597";""
"Albania";"1999";"10384964623";""
"Albania";"1998";"9297951315";""
"Albania";"1997";"8159523251";""
"Albania";"1996";"8937048708";""
"Albania";"1995";"8038578038";""
"Albania";"1994";"7234094252";""
"Albania";"1993";"6475937912";""
"Albania";"1992";"5776000367";""
"Albania";"1991";"6084026086";""
"Albania";"1990";"8106154010";""
"Albania";"1989";"8630747065";""
"Albania";"1988";"7570546325";""
"Albania";"1987";"7424915789";""
"Albania";"1986";"7282794161";""
"Albania";"1985";"6743815639";""
"Albania";"1984";"6428501019";""
"Albania";"1983";"6274374315";""
"Albania";"1982";"5969728345";""
"Albania";"1981";"5465829160";""
"Albania";"1980";"4725049295";""
"Algeria";"2006";"245982724424";""
"Algeria";"2005";"232024321353";""
"Algeria";"2004";"213893979498";""
"Algeria";"2003";"198122553388";""
"Algeria";"2002";"181637725751";""
"Algeria";"2001";"170500130688";""
"Algeria";"2000";"162270681403";""
"Algeria";"1999";"155390287774";""
"Algeria";"1998";"148427291423";""
"Algeria";"1997";"139673005252";""
"Algeria";"1996";"135883578220";""
"Algeria";"1995";"128093211673";""
"Algeria";"1994";"120937671792";""
"Algeria";"1993";"119515379875";""
"Algeria";"1992";"119337289230";""
"Algeria";"1991";"114588536853";""
"Algeria";"1990";"112062614081";""
"Algeria";"1989";"107033367358";""
"Algeria";"1988";"98774403044";""
"Algeria";"1987";"96463311875";""
"Algeria";"1986";"94533193295";""
"Algeria";"1985";"92103331320";""
"Algeria";"1984";"86171919543";""
"Algeria";"1983";"78648896772";""
"Algeria";"1982";"71780842426";""
"Algeria";"1981";"63590006997";""
"Algeria";"1980";"56437055883";""
"Algeria";"1979";"51332286662";""
"Algeria";"1978";"44097616233";""
"Algeria";"1977";"37726174045";""
"Algeria";"1976";"33703115456";""
"Algeria";"1975";"29404088188";""
"Angola";"2006";"43890076612";""
"Angola";"2005";"37220699124";""
"Angola";"2004";"29955940192";""
"Angola";"2003";"26254056147";""
"Angola";"2002";"24906410065";""
"Angola";"2001";"21379957156";""
"Angola";"2000";"20241100241";""
"Angola";"1999";"19230062666";""
"Angola";"1998";"18361287903";""
"Angola";"1997";"17002545645";""
"Angola";"1996";"15498803086";""
"Angola";"1995";"13677390987";""
"Angola";"1994";"12141350539";""
"Angola";"1993";"11488477949";""
"Angola";"1992";"14914289905";""
"Angola";"1991";"15659060132";""
"Angola";"1990";"15313880562";""
"Angola";"1989";"14787987628";""
"Angola";"1988";"14190611823";""
"Angola";"1987";"12992422264";""
"Angola";"1986";"11717638359";""
"Angola";"1985";"11149918191";""
"Angola";"1984";"10452027012";""
"Angola";"1983";"9503541631";""
"Angola";"1982";"8773527500";""
"Angola";"1981";"8269822283";""
"Angola";"1980";"8076683234";""
"Antigua and Barbuda";"2006";"1191597569";""
"Antigua and Barbuda";"2005";"1071943108";""
"Antigua and Barbuda";"2004";"988181642";""
"Antigua and Barbuda";"2003";"898307283";""
"Antigua and Barbuda";"2002";"836574011";""
"Antigua and Barbuda";"2001";"801951369";""
"Antigua and Barbuda";"2000";"779853187";""
"Antigua and Barbuda";"1999";"738834601";""
"Antigua and Barbuda";"1998";"699481041";""
"Antigua and Barbuda";"1997";"662590123";""
"Antigua and Barbuda";"1996";"621346366";""
"Antigua and Barbuda";"1995";"571239467";""
"Antigua and Barbuda";"1994";"584225453";""
"Antigua and Barbuda";"1993";"538108952";""
"Antigua and Barbuda";"1992";"499120561";""
"Antigua and Barbuda";"1991";"483782506";""
"Antigua and Barbuda";"1990";"458111690";""
"Antigua and Barbuda";"1989";"430105927";""
"Antigua and Barbuda";"1988";"391766083";""
"Antigua and Barbuda";"1987";"359293464";""
"Antigua and Barbuda";"1986";"322953497";""
"Antigua and Barbuda";"1985";"280263112";""
"Antigua and Barbuda";"1984";"251796868";""
"Antigua and Barbuda";"1983";"221117081";""
"Antigua and Barbuda";"1982";"203199094";""
"Antigua and Barbuda";"1981";"191213126";""
"Antigua and Barbuda";"1980";"167937474";""
"Antigua and Barbuda";"1979";"141769830";""
"Antigua and Barbuda";"1978";"121941408";""
"Antigua and Barbuda";"1977";"109360125";""
"Argentina";"2006";"617909655858";""
"Argentina";"2005";"553526040377";""
"Argentina";"2004";"492144357946";""
"Argentina";"2003";"439844643438";""
"Argentina";"2002";"396070421396";""
"Argentina";"2001";"436850856813";""
"Argentina";"2000";"446249947445";""
"Argentina";"1999";"440203027746";""
"Argentina";"1998";"449138335849";""
"Argentina";"1997";"427734527235";""
"Argentina";"1996";"389143606040";""
"Argentina";"1995";"361874050129";""
"Argentina";"1994";"365027910202";""
"Argentina";"1993";"337775134195";""
"Argentina";"1992";"311772927570";""
"Argentina";"1991";"272246858344";""
"Argentina";"1990";"233470603256";""
"Argentina";"1989";"230301480705";""
"Argentina";"1988";"239862777162";""
"Argentina";"1987";"237993282761";""
"Argentina";"1986";"225049780355";""
"Argentina";"1985";"204070089674";""
"Argentina";"1984";"214246597826";""
"Argentina";"1983";"202024403048";""
"Argentina";"1982";"187089230826";""
"Argentina";"1981";"185545908367";""
"Argentina";"1980";"179847408176";""
"Argentina";"1979";"158301074410";""
"Argentina";"1978";"132603803781";""
"Argentina";"1977";"129744743206";""
"Argentina";"1976";"114092779505";""
"Argentina";"1975";"110110021837";""
"Armenia";"2006";"17434143647";""
"Armenia";"2005";"14936657765";""
"Armenia";"2004";"12718679356";""
"Armenia";"2003";"11215814311";""
"Armenia";"2002";"9642193030";""
"Armenia";"2001";"8372348123";""
"Armenia";"2000";"7462275371";""
"Armenia";"1999";"6887108566";""
"Armenia";"1998";"6572131093";""
"Armenia";"1997";"6057702203";""
"Armenia";"1996";"5766663816";""
"Armenia";"1995";"5345402847";""
"Armenia";"1994";"4900445753";""
