"Country or Area","Year","Value","Value Footnotes"
"Austria","2005","33537",""
"Austria","2004","32208",""
"Austria","2003","30851",""
"Austria","2002","29943",""
"Austria","2001","29294",""
"Austria","2000","28481",""
"Austria","1999","27000",""
"Austria","1998","25823",""
"Austria","1997","24696",""
"Austria","1996","23870",""
"Austria","1995","22861",""
"Austria","1994","22051",""
"Austria","1993","21036",""
"Austria","1992","20881",""
"Austria","1991","19898",""
"Austria","1990","18770",""
"Belgium","2005","32702",""
"Belgium","2004","31526",""
"Belgium","2003","30075",""
"Belgium","2002","29329",""
"Belgium","2001","28525","1"
"Belgium","2000","27659","1"
"Belgium","1999","26128","1"
"Belgium","1998","25044","1,2"
"Belgium","1997","24354","1,2"
"Belgium","1996","23235","1,2"
"Belgium","1995","22585","1,2"
"Belgium","1994","21664","1,2"
"Belgium","1993","20616","1,2"
"Belgium","1992","20429","1,2"
"Belgium","1991","19748","1,2"
"Belgium","1990","18807","1,2"
"Canada","2005","33370",""
"Canada","2004","31785",""
"Canada","2003","30433",""
"Canada","2002","29492",""
"Canada","2001","28375",""
"Canada","2000","27503",""
"Canada","1999","25800",""
"Canada","1998","24282",""
"Canada","1997","23274",""
"Canada","1996","22193",""
"Canada","1995","21665",""
"Canada","1994","20829",""
"Canada","1993","19651",""
"Canada","1992","18976",""
"Canada","1991","18615",""
"Canada","1990","18630",""
"Czech Republic","2005","20845",""
"Czech Republic","2004","19126",""
"Czech Republic","2003","17891",""
"Czech Republic","2002","16927",""
"Czech Republic","2001","16289",""
"Czech Republic","2000","15450",""
"Czech Republic","1999","14575",""
"Czech Republic","1998","14161",""
"Czech Republic","1997","14100",""
"Czech Republic","1996","13955",""
"Czech Republic","1995","13144",""
"Czech Republic","1994","12153",""
"Czech Republic","1993","11649",""
"Czech Republic","1992","11394",""
"Czech Republic","1991","11205",""
"Czech Republic","1990","12185",""
"Denmark","2005","34304",""
"Denmark","2004","32401",""
"Denmark","2003","31074",""
"Denmark","2002","30317",""
"Denmark","2001","29764",""
"Denmark","2000","28956",""
"Denmark","1999","27466",""
"Denmark","1998","26489",""
"Denmark","1997","25726",""
"Denmark","1996","24622",""
"Denmark","1995","23649",""
"Denmark","1994","22587",""
"Denmark","1993","21026",""
"Denmark","1992","20648",""
"Denmark","1991","19854",""
"Denmark","1990","18989",""
