"Country or Area","Year","Value","Value Footnotes"
"Austria","2005","48.9",""
"Austria","2004","47.5",""
"Austria","2003","45.8",""
"Austria","2002","41.2",""
"Austria","2001","39.1",""
"Austria","2000","33.7",""
"Austria","1999","23",""
"Austria","1998","15.4",""
"Austria","1997","9.5",""
"Austria","1996","6.9",""
"Austria","1995","1.9",""
"Austria","1994","1.4",""
"Austria","1993","0.8",""
"Austria","1992","0.6",""
"Austria","1991","0.3","1"
"Austria","1990","0.1","1"
"Belgium","2005","45.7",""
"Belgium","2004","40.2",""
"Belgium","2003","38.5",""
"Belgium","2002","32.8",""
"Belgium","2001","31",""
"Belgium","2000","29.2",""
"Belgium","1999","13.7",""
"Belgium","1998","7.8",""
"Belgium","1997","4.9",""
"Belgium","1996","3",""
"Belgium","1995","1",""
"Belgium","1994","0.7",""
"Belgium","1993","0.2","1"
"Belgium","1992","0.1","1"
"Belgium","1991","0","1"
"Canada","2005","67.9",""
"Canada","2004","62.3",""
"Canada","2003","55.4",""
"Canada","2002","48.3",""
"Canada","2001","45",""
"Canada","2000","42.1",""
"Canada","1999","36.1",""
"Canada","1998","24.8",""
"Canada","1997","15",""
"Canada","1996","6.7",""
"Canada","1995","4.2",""
"Canada","1994","2.4",""
"Canada","1993","1.2",""
"Canada","1992","0.9",""
"Canada","1991","0.6",""
"Canada","1990","0.4","1"
"Czech Republic","2005","27",""
"Czech Republic","2004","25.2",""
"Czech Republic","2003","23.5",""
"Czech Republic","2002","25.5",""
"Czech Republic","2001","14.7",""
"Czech Republic","2000","9.7",""
"Czech Republic","1999","6.8",""
"Czech Republic","1998","3.9",""
"Czech Republic","1997","2.9",""
"Czech Republic","1996","1.9",""
"Czech Republic","1995","1.5",""
"Czech Republic","1994","1.3",""
"Czech Republic","1993","0.6",""
"Denmark","2005","52.5",""
"Denmark","2004","50.4",""
"Denmark","2003","46",""
"Denmark","2002","44.5",""
"Denmark","2001","43",""
"Denmark","2000","39.2",""
"Denmark","1999","30.6",""
"Denmark","1998","22.6",""
"Denmark","1997","11.4",""
"Denmark","1996","5.7",""
"Denmark","1995","3.8",""
"Denmark","1994","1.3",""
"Denmark","1993","0.6",""
"Denmark","1992","0.4","1"
"Denmark","1991","0.2","1"
"Denmark","1990","0.1","1"
"Finland","2005","53.3",""
"Finland","2004","51.4",""
"Finland","2003","49",""
"Finland","2002","48.6",""
"Finland","2001","43",""
"Finland","2000","37.2",""
"Finland","1999","32.3",""
"Finland","1998","25.4",""
"Finland","1997","19.4",""
"Finland","1996","16.8",""
"Finland","1995","13.7",""
"Finland","1994","4.9",""
"Finland","1993","2.6",""
"Finland","1992","1.9",""
"Finland","1991","1.4",""
"Finland","1990","0.4","1"
"France","2005","43.2",""
"France","2004","39.3",""
"France","2003","36.3",""
"France","2002","30.3",""
"France","2001","26.4",""
"France","2000","14.4",""
"France","1999","9.2",""
"France","1998","6.3",""
"France","1997","4.3",""
"France","1996","2.6",""
"France","1995","1.6",""
"France","1994","0.9",""
"France","1993","0.6",""
"France","1992","0.3","1"
"France","1991","0.1","1"
"France","1990","0.1","1"
"Germany","2005","43.2",""
"Germany","2004","42.7",""
"Germany","2003","40",""
"Germany","2002","33.9",""
"Germany","2001","31.5",""
"Germany","2000","30.1",""
"Germany","1999","20.8",""
"Germany","1998","9.9",""
"Germany","1997","6.7",""
"Germany","1996","3",""
"Germany","1995","1.8",""
"Germany","1994","0.9",""
"Germany","1993","0.5","1"
"Germany","1992","0.4","1"
"Germany","1991","0.3","1"
"Germany","1990","0.1","1"
"Greece","2005","18",""
"Greece","2004","17.6",""
"Greece","2003","15",""
"Greece","2002","13.5",""
"Greece","2001","8.6",""
"Greece","2000","9.5",""
"Greece","1999","7.1",""
"Greece","1998","3.3",""
"Greece","1997","1.9",""
"Greece","1996","1.4",""
"Greece","1995","0.8",""
"Greece","1994","0.4","1"
"Greece","1993","0.2","1"
"Greece","1992","0.1","1"
"Greece","1991","0.1","1"
"Hungary","2005","29.7",""
"Hungary","2004","26.7",""
"Hungary","2003","23.7",""
"Hungary","2002","15.8",""
"Hungary","2001","14.6",""
"Hungary","2000","7",""
"Hungary","1999","5.9",""
"Hungary","1998","3.9",""
"Hungary","1997","2",""
"Hungary","1996","1",""
"Hungary","1995","0.7",""
"Hungary","1994","0.5","1"
"Hungary","1993","0.2","1"
"Hungary","1992","0.1","1"
"Iceland","2005","62.2",""
"Iceland","2004","57.3",""
"Iceland","2003","57.4",""
"Iceland","2002","52.1",""
"Iceland","2001","48.8",""
"Iceland","2000","44.5",""
"Iceland","1999","41.3",""
"Iceland","1998","36.3",""
"Iceland","1997","27.5",""
"Iceland","1996","14.8",""
"Iceland","1995","11.2",""
"Iceland","1994","6.8",""
"Iceland","1993","2.6",""
"Iceland","1992","1.5",""
"Iceland","1991","0.5",""
"Ireland","2005","33.8","2"
"Ireland","2004","29.6","2"
"Ireland","2003","31.7","2"
"Ireland","2002","28","2"
"Ireland","2001","23.3","2"
"Ireland","2000","17.9","2"
"Ireland","1999","10.9","2"
"Ireland","1998","8.1","2"
"Ireland","1997","4.1","2"
"Ireland","1996","2.2","2"
"Ireland","1995","1.1","2"
"Ireland","1994","0.6","2"
"Ireland","1993","0.3","1,2"
"Ireland","1992","0.2","1,2"
"Ireland","1991","0.1","1,2"
"Italy","2005","48.2",""
"Italy","2004","46.8",""
"Italy","2003","39.5",""
"Italy","2002","35.1",""
"Italy","2001","26.9",""
"Italy","2000","23",""
"Italy","1999","14.3",""
"Italy","1998","4.5",""
"Italy","1997","2.3",""
"Italy","1996","1",""
"Italy","1995","0.5",""
"Italy","1994","0.2","1"
"Italy","1993","0.1","1"
"Italy","1992","0.1","1"
"Italy","1991","0","1"
"Italy","1990","0","1"
"Japan","2005","66.6",""
"Japan","2004","62.2",""
"Japan","2003","48.3",""
"Japan","2002","46.5",""
"Japan","2001","38.4",""
"Japan","2000","29.9",""
"Japan","1999","21.4",""
"Japan","1998","13.4",""
"Japan","1997","9.2",""
"Japan","1996","4.4",""
"Japan","1995","1.6",""
"Japan","1994","0.8",""
"Japan","1993","0.4","1"
"Japan","1992","0.1","1"
"Japan","1991","0","1"
"Japan","1990","0","1"
"Luxembourg","2005","67.7",""
"Luxembourg","2004","59",""
"Luxembourg","2003","37.6",""
"Luxembourg","2002","37",""
"Luxembourg","2001","36.4",""
"Luxembourg","2000","22.8",""
"Luxembourg","1999","17.3",""
"Luxembourg","1998","11.7",""
"Luxembourg","1997","7.1",""
"Luxembourg","1996","5.5",""
"Luxembourg","1995","1.6",""
"Luxembourg","1994","0.5","1"
"Luxembourg","1993","0.3","1"
"Luxembourg","1992","0.2","1"
"Netherlands","2005","74",""
"Netherlands","2004","61.6",""
"Netherlands","2003","52.2",""
"Netherlands","2002","50.6",""
"Netherlands","2001","49",""
"Netherlands","2000","43.8",""
"Netherlands","1999","39.1",""
"Netherlands","1998","22.2",""
"Netherlands","1997","14.1",""
"Netherlands","1996","9.6",""
"Netherlands","1995","6.5",""
"Netherlands","1994","3.3",""
"Netherlands","1993","2",""
"Netherlands","1992","1.3",""
"Netherlands","1991","0.5",""
"Netherlands","1990","0.3","1"
"Norway","2005","58.5",""
"Norway","2004","39",""
"Norway","2003","34.6",""
"Norway","2002","30.7",""
"Norway","2001","29.2",""
"Norway","2000","26.6",""
"Norway","1999","24.6",""
"Norway","1998","22.5",""
"Norway","1997","20.4",""
"Norway","1996","18.2",""
"Norway","1995","6.4",""
"Norway","1994","4.1",""
"Norway","1993","2.8",""
"Norway","1992","2.2",""
"Norway","1991","1.4",""
"Norway","1990","0.7",""
"Poland","2005","25.9",""
"Poland","2004","23.4",""
"Poland","2003","23.2",""
"Poland","2002","23",""
"Poland","2001","9.8",""
"Poland","2000","7.3",""
"Poland","1999","5.4",""
"Poland","1998","4.1",""
"Poland","1997","2.1",""
"Poland","1996","1.3",""
"Poland","1995","0.7",""
"Poland","1994","0.4","1"
"Poland","1993","0.1","1"
"Poland","1992","0.1","1"
"Poland","1991","0","1"
"Portugal","2005","27.2",""
"Portugal","2004","24.5",""
"Portugal","2003","25.5",""
"Portugal","2002","21.8",""
"Portugal","2001","18",""
"Portugal","2000","16.8",""
"Portugal","1999","15",""
"Portugal","1998","10",""
"Portugal","1997","5",""
"Portugal","1996","3",""
"Portugal","1995","1.5",""
"Portugal","1994","0.7",""
"Portugal","1993","0.5","1"
"Portugal","1992","0.3","1"
