"Country or Area";"Year";"Value";"Value Footnotes"
"Albania";"2002";"1.2";""
"Albania";"2001";"1";""
"Albania";"2000";"0.8";""
"Albania";"1999";"0.6";""
"Albania";"1998";"0.5";""
"Albania";"1997";"0.3";""
"Albania";"1996";"0.2";""
"Algeria";"2004";"0.9";""
"Algeria";"2003";"0.8";""
"Algeria";"2002";"0.8";""
"Algeria";"2001";"0.7";""
"Algeria";"2000";"0.7";""
"Algeria";"1999";"0.6";""
"Algeria";"1998";"0.5";""
"Algeria";"1997";"0.5";""
"Algeria";"1996";"0.5";""
"Algeria";"1995";"0.3";""
"Algeria";"1994";"0.3";""
"Algeria";"1993";"0.2";""
"Algeria";"1992";"0.2";""
"Algeria";"1991";"0.2";""
"Algeria";"1990";"0.1";""
"Angola";"2002";"0.2";""
"Angola";"2001";"0.1";""
"Angola";"2000";"0.1";""
"Angola";"1999";"0.1";""
"Angola";"1998";"0.1";""
"Angola";"1997";"0.1";""
"Argentina";"2002";"8";""
"Argentina";"2001";"7.8";""
"Argentina";"2000";"7";""
"Argentina";"1999";"5.8";""
"Argentina";"1998";"5.3";""
"Argentina";"1997";"4.8";""
"Argentina";"1996";"4.2";""
"Argentina";"1995";"3.5";""
"Argentina";"1994";"3.4";""
"Argentina";"1993";"1.4";""
"Argentina";"1992";"1";""
"Argentina";"1991";"0.9";""
"Argentina";"1990";"0.7";""
"Argentina";"1989";"0.6";""
"Argentina";"1988";"0.4";""
"Armenia";"2004";"5.3";""
"Armenia";"2003";"2.7";""
"Armenia";"2002";"1.6";""
"Armenia";"2001";"0.9";""
"Armenia";"2000";"0.7";""
"Armenia";"1999";"0.5";""
"Armenia";"1998";"0.4";""
"Armenia";"1997";"0.2";""
"Australia";"2004";"68.9";""
"Australia";"2003";"60.4";""
"Australia";"2002";"56.5";""
"Australia";"2001";"51.5";""
"Australia";"2000";"47";""
"Australia";"1999";"42.3";""
"Australia";"1998";"36.9";""
"Australia";"1997";"32.8";""
"Australia";"1996";"28.9";""
"Australia";"1995";"27.6";""
"Australia";"1994";"24";""
"Australia";"1993";"20.8";""
"Australia";"1992";"18.4";""
"Australia";"1991";"16";""
"Australia";"1990";"15";""
"Australia";"1989";"13.1";""
"Australia";"1988";"10.3";""
"Austria";"2004";"57.6";""
"Austria";"2003";"55.3";""
"Austria";"2002";"48.1";""
"Austria";"2001";"42.2";""
"Austria";"2000";"36.2";""
"Austria";"1999";"28.8";""
"Austria";"1998";"23.8";""
"Austria";"1997";"21.3";""
"Austria";"1996";"17.6";""
"Austria";"1995";"16.4";""
"Austria";"1994";"11.3";""
"Austria";"1993";"10.1";""
"Austria";"1992";"8.9";""
"Austria";"1991";"7.7";""
"Austria";"1990";"6.5";""
"Austria";"1989";"5.2";""
"Austria";"1988";"4";""
"Azerbaijan";"2004";"1.8";""
"Azerbaijan";"2003";"1.5";""
"Bahrain";"2004";"16.9";""
"Bahrain";"2003";"16.4";""
"Bahrain";"2002";"15.9";""
"Bahrain";"2001";"15.4";""
"Bahrain";"2000";"15";""
"Bahrain";"1999";"15";""
"Bahrain";"1998";"9.9";""
"Bahrain";"1997";"8.5";""
"Bahrain";"1996";"7";""
"Bahrain";"1995";"5.2";""
"Bangladesh";"2004";"1.2";""
"Bangladesh";"2003";"0.8";""
"Bangladesh";"2002";"0.3";""
"Bangladesh";"2001";"0.2";""
"Bangladesh";"2000";"0.2";""
"Bangladesh";"1999";"0.1";""
"Bangladesh";"1998";"0.1";""
"Bangladesh";"1997";"0";""
"Barbados";"2004";"12.5";""
"Barbados";"2003";"11.5";""
"Barbados";"2002";"10.4";""
"Barbados";"2001";"9.3";""
"Barbados";"2000";"8.2";""
"Barbados";"1999";"7.9";""
"Barbados";"1998";"7.5";""
"Barbados";"1997";"6.8";""
"Barbados";"1996";"6";""
"Barbados";"1995";"5.7";""
"Belgium";"2004";"34.7";""
"Belgium";"2003";"31.7";""
"Belgium";"2002";"27";""
"Belgium";"2001";"23.3";""
"Belgium";"2000";"22.4";""
"Belgium";"1999";"22";""
"Belgium";"1998";"21.5";""
"Belgium";"1997";"20.6";""
"Belgium";"1996";"19.2";""
"Belgium";"1995";"17.8";""
"Belgium";"1994";"15.9";""
"Belgium";"1993";"13.9";""
"Belgium";"1992";"12";""
"Belgium";"1991";"10";""
"Belgium";"1990";"8.8";""
"Belgium";"1989";"6";""
"Belgium";"1988";"5.1";""
"Belize";"2002";"13.5";""
"Belize";"2001";"12.8";""
"Belize";"2000";"12.5";""
"Belize";"1999";"10.7";""
"Belize";"1998";"8.8";""
"Belize";"1997";"6.8";""
"Belize";"1996";"4.6";""
"Belize";"1995";"2.9";""
"Benin";"2004";"0.4";""
"Benin";"2003";"0.4";""
"Benin";"2002";"0.2";""
"Benin";"2001";"0.2";""
"Benin";"2000";"0.2";""
"Benin";"1999";"0.1";""
"Benin";"1998";"0.1";""
"Benin";"1997";"0.1";""
"Benin";"1996";"0.1";""
"Benin";"1995";"0.1";""
"Bermuda";"2002";"52.3";""
"Bermuda";"2001";"49.5";""
"Bermuda";"2000";"46.5";""
"Bermuda";"1999";"43.7";""
"Bermuda";"1998";"40.6";""
"Bermuda";"1997";"37.5";""
"Bermuda";"1996";"34.4";""
"Bermuda";"1995";"31.7";""
"Bhutan";"2004";"1.4";""
"Bhutan";"2003";"1.4";""
"Bhutan";"2002";"1.4";""
"Bhutan";"2001";"1";""
"Bhutan";"2000";"0.8";""
"Bhutan";"1999";"0.5";""
"Bhutan";"1998";"0.4";""
