"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"Afghanistan";"2005";"MILLION KWH";"960";"1"
"Afghanistan";"2004";"MILLION KWH";"929";"1"
"Afghanistan";"2003";"MILLION KWH";"976";"1"
"Afghanistan";"2002";"MILLION KWH";"846";"1"
"Afghanistan";"2001";"MILLION KWH";"545";"1"
"Afghanistan";"2000";"MILLION KWH";"480";"1"
"Afghanistan";"1999";"MILLION KWH";"485";"1"
"Afghanistan";"1998";"MILLION KWH";"485";"1"
"Afghanistan";"1997";"MILLION KWH";"505";"1"
"Afghanistan";"1996";"MILLION KWH";"565";"1"
"Afghanistan";"1995";"MILLION KWH";"625";"1"
"Albania";"2005";"MILLION KWH";"5443";""
"Albania";"2004";"MILLION KWH";"5559";""
"Albania";"2003";"MILLION KWH";"5230";""
"Albania";"2002";"MILLION KWH";"3686";""
"Albania";"2001";"MILLION KWH";"3692";""
"Albania";"2000";"MILLION KWH";"4738";""
"Albania";"1999";"MILLION KWH";"5397";""
"Albania";"1998";"MILLION KWH";"5068";""
"Albania";"1997";"MILLION KWH";"5184";""
"Albania";"1996";"MILLION KWH";"5926";""
"Albania";"1995";"MILLION KWH";"4414";""
"Algeria";"2005";"MILLION KWH";"32873";""
"Algeria";"2004";"MILLION KWH";"31250";""
"Algeria";"2003";"MILLION KWH";"29571";""
"Algeria";"2002";"MILLION KWH";"27647";""
"Algeria";"2001";"MILLION KWH";"26624";""
"Algeria";"2000";"MILLION KWH";"25412";""
"Algeria";"1999";"MILLION KWH";"24654";""
"Algeria";"1998";"MILLION KWH";"23615";""
"Algeria";"1997";"MILLION KWH";"21489";""
"Algeria";"1996";"MILLION KWH";"20654";""
"Algeria";"1995";"MILLION KWH";"19714";""
"American Samoa";"2005";"MILLION KWH";"189";""
"American Samoa";"2004";"MILLION KWH";"188";""
"American Samoa";"2003";"MILLION KWH";"188";""
"American Samoa";"2002";"MILLION KWH";"179";""
"American Samoa";"2001";"MILLION KWH";"171";""
"American Samoa";"2000";"MILLION KWH";"169";""
"American Samoa";"1999";"MILLION KWH";"162";""
"American Samoa";"1998";"MILLION KWH";"156";""
"American Samoa";"1997";"MILLION KWH";"150";""
"American Samoa";"1996";"MILLION KWH";"143";""
"American Samoa";"1995";"MILLION KWH";"137";""
"Angola";"2005";"MILLION KWH";"2653";""
"Angola";"2004";"MILLION KWH";"2339";""
"Angola";"2003";"MILLION KWH";"1995";""
"Angola";"2002";"MILLION KWH";"1765";""
"Angola";"2001";"MILLION KWH";"1638";""
"Angola";"2000";"MILLION KWH";"1445";""
"Angola";"1999";"MILLION KWH";"1335";""
"Angola";"1998";"MILLION KWH";"1318";""
"Angola";"1997";"MILLION KWH";"1146";""
"Angola";"1996";"MILLION KWH";"1028";""
"Angola";"1995";"MILLION KWH";"960";""
"Anguilla";"2005";"MILLION KWH";"72";""
"Anguilla";"2004";"MILLION KWH";"62";""
"Anguilla";"2003";"MILLION KWH";"58";""
"Anguilla";"2002";"MILLION KWH";"55";""
"Anguilla";"2001";"MILLION KWH";"53";""
"Anguilla";"2000";"MILLION KWH";"45";""
"Anguilla";"1999";"MILLION KWH";"40";""
"Anguilla";"1998";"MILLION KWH";"31";""
"Anguilla";"1997";"MILLION KWH";"28";""
"Anguilla";"1996";"MILLION KWH";"24";""
"Anguilla";"1995";"MILLION KWH";"22";""
"Antigua and Barbuda";"2005";"MILLION KWH";"109";""
"Antigua and Barbuda";"2004";"MILLION KWH";"109";""
"Antigua and Barbuda";"2003";"MILLION KWH";"109";""
"Antigua and Barbuda";"2002";"MILLION KWH";"105";""
"Antigua and Barbuda";"2001";"MILLION KWH";"100";""
"Antigua and Barbuda";"2000";"MILLION KWH";"99";""
"Antigua and Barbuda";"1999";"MILLION KWH";"99";""
"Antigua and Barbuda";"1998";"MILLION KWH";"99";""
"Antigua and Barbuda";"1997";"MILLION KWH";"99";""
"Antigua and Barbuda";"1996";"MILLION KWH";"98";""
"Antigua and Barbuda";"1995";"MILLION KWH";"98";""
"Argentina";"2005";"MILLION KWH";"107053";""
"Argentina";"2004";"MILLION KWH";"100260";""
"Argentina";"2003";"MILLION KWH";"92609";""
"Argentina";"2002";"MILLION KWH";"85055";""
"Argentina";"2001";"MILLION KWH";"90324";""
"Argentina";"2000";"MILLION KWH";"89200";""
"Argentina";"1999";"MILLION KWH";"81177";""
"Argentina";"1998";"MILLION KWH";"74456";""
"Argentina";"1997";"MILLION KWH";"73015";""
"Argentina";"1996";"MILLION KWH";"69902";""
"Argentina";"1995";"MILLION KWH";"67085";""
"Armenia";"2005";"MILLION KWH";"6317";""
"Armenia";"2004";"MILLION KWH";"6030";""
"Armenia";"2003";"MILLION KWH";"5501";""
"Armenia";"2002";"MILLION KWH";"5519";""
"Armenia";"2001";"MILLION KWH";"5745";""
"Armenia";"2000";"MILLION KWH";"5958";""
"Armenia";"1999";"MILLION KWH";"5717";""
"Armenia";"1998";"MILLION KWH";"6191";""
"Armenia";"1997";"MILLION KWH";"6022";""
"Armenia";"1996";"MILLION KWH";"6215";""
"Armenia";"1995";"MILLION KWH";"5561";""
"Aruba";"2005";"MILLION KWH";"830";""
"Aruba";"2004";"MILLION KWH";"816";""
"Aruba";"2003";"MILLION KWH";"816";""
"Aruba";"2002";"MILLION KWH";"810";""
"Aruba";"2001";"MILLION KWH";"808";""
"Aruba";"2000";"MILLION KWH";"777";""
"Aruba";"1999";"MILLION KWH";"738";""
"Aruba";"1998";"MILLION KWH";"730";""
"Aruba";"1997";"MILLION KWH";"675";""
"Aruba";"1996";"MILLION KWH";"642";""
"Aruba";"1995";"MILLION KWH";"616";""
"Australia";"2005";"MILLION KWH";"251120";"2"
"Australia";"2004";"MILLION KWH";"239042";"2"
"Australia";"2003";"MILLION KWH";"228118";"2"
"Australia";"2002";"MILLION KWH";"226359";"2"
"Australia";"2001";"MILLION KWH";"216845";"2"
"Australia";"2000";"MILLION KWH";"207757";"2"
"Australia";"1999";"MILLION KWH";"203372";"2"
"Australia";"1998";"MILLION KWH";"195948";"2"
"Australia";"1997";"MILLION KWH";"183184";"2"
"Australia";"1996";"MILLION KWH";"177672";"2"
