"Country or Area";"Year";"Value";"Value Footnotes"
"Albania";"2004";"6";""
"Albania";"2003";"6";""
"Albania";"2002";"6";""
"Albania";"2001";"7";""
"Albania";"2000";"7";""
"Albania";"1999";"6";""
"Albania";"1998";"9";""
"Albania";"1997";"9";""
"Albania";"1996";"8";""
"Albania";"1995";"8";""
"Albania";"1994";"7";""
"Albania";"1993";"7";""
"Albania";"1992";"5";""
"Albania";"1991";"4";""
"Albania";"1990";"4";""
"Albania";"1989";"4";""
"Albania";"1988";"3";""
"Albania";"1987";"4";""
"Albania";"1986";"4";""
"Albania";"1985";"4";""
"Albania";"1984";"3";""
"Albania";"1983";"3";""
"Albania";"1982";"4";""
"Albania";"1981";"3";""
"Albania";"1980";"3";""
"Algeria";"2004";"6";""
"Algeria";"2003";"6";""
"Algeria";"2002";"6";""
"Algeria";"2001";"6";""
"Algeria";"2000";"6";""
"Algeria";"1999";"6";""
"Algeria";"1998";"6";""
"Algeria";"1997";"6";""
"Algeria";"1996";"6";""
"Algeria";"1995";"5";""
"Algeria";"1994";"5";""
"Algeria";"1993";"5";""
"Algeria";"1992";"5";""
"Algeria";"1991";"5";""
"Algeria";"1990";"6";""
"Algeria";"1989";"6";""
"Algeria";"1988";"6";""
"Algeria";"1987";"6";""
"Algeria";"1986";"6";""
"Algeria";"1985";"7";""
"Algeria";"1984";"7";""
"Algeria";"1983";"6";""
"Algeria";"1982";"7";""
"Algeria";"1981";"8";""
"Algeria";"1980";"9";""
"Algeria";"1979";"9";""
"Algeria";"1978";"10";""
"Algeria";"1977";"12";""
"Algeria";"1976";"12";""
"Algeria";"1975";"13";""
"Angola";"2004";"3";""
"Angola";"2003";"3";""
"Angola";"2002";"3";""
"Angola";"2001";"3";""
"Angola";"2000";"3";""
"Angola";"1999";"3";""
"Angola";"1998";"3";""
"Angola";"1997";"2";""
"Angola";"1996";"2";""
"Angola";"1995";"2";""
"Angola";"1994";"2";""
"Angola";"1993";"2";""
"Angola";"1992";"3";""
"Angola";"1991";"3";""
"Angola";"1990";"3";""
"Angola";"1989";"3";""
"Angola";"1988";"3";""
"Angola";"1987";"3";""
"Angola";"1986";"3";""
"Angola";"1985";"3";""
"Angola";"1984";"3";""
"Angola";"1983";"3";""
"Angola";"1982";"3";""
"Angola";"1981";"3";""
"Angola";"1980";"3";""
"Argentina";"2004";"7";""
"Argentina";"2003";"7";""
"Argentina";"2002";"7";""
"Argentina";"2001";"7";""
"Argentina";"2000";"7";""
"Argentina";"1999";"7";""
"Argentina";"1998";"8";""
"Argentina";"1997";"8";""
"Argentina";"1996";"7";""
"Argentina";"1995";"7";""
"Argentina";"1994";"8";""
"Argentina";"1993";"8";""
"Argentina";"1992";"7";""
"Argentina";"1991";"7";""
"Argentina";"1990";"6";""
"Argentina";"1989";"6";""
"Argentina";"1988";"7";""
"Argentina";"1987";"7";""
"Argentina";"1986";"7";""
"Argentina";"1985";"7";""
"Argentina";"1984";"7";""
"Argentina";"1983";"7";""
"Argentina";"1982";"7";""
"Argentina";"1981";"8";""
"Argentina";"1980";"8";""
"Argentina";"1979";"8";""
"Argentina";"1978";"7";""
"Argentina";"1977";"8";""
"Argentina";"1976";"8";""
"Argentina";"1975";"8";""
"Armenia";"2004";"5";""
