"Country or Area";"Year";"Value"
"Albania";"2005";"139.372728050665"
"Albania";"2004";"128.122811732923"
"Albania";"2003";"138.728910302992"
"Albania";"2002";"140.195422086547"
"Albania";"2001";"129.877279724015"
"Albania";"2000";"137.233475283628"
"Albania";"1999";"145.308661826951"
"Albania";"1998";"116.4012252182"
"Albania";"1997";"121.440794348584"
"Albania";"1996";"127.725581875897"
"Albania";"1995";"130.491704432532"
"Albania";"1994";"151.321964799521"
"Albania";"1993";"155.346148376216"
"Albania";"1992";"173.728812852334"
"Albania";"1991";"222.036176240113"
"Albania";"1990";"230.199758343034"
"Algeria";"2005";"174.563468674783"
"Algeria";"2004";"177.021656775711"
"Algeria";"2003";"185.270142919242"
"Algeria";"2002";"185.734508614945"
"Algeria";"2001";"183.090890228383"
"Algeria";"2000";"186.829341930575"
"Algeria";"1999";"187.754216167072"
"Algeria";"1998";"181.394544137854"
"Algeria";"1997";"184.67737542228"
"Algeria";"1996";"180.689193563937"
"Algeria";"1995";"193.737986802681"
"Algeria";"1994";"193.752417492507"
"Algeria";"1993";"199.129168063357"
"Algeria";"1992";"194.14455266034"
"Algeria";"1991";"192.345457666379"
"Algeria";"1990";"180.059974807833"
"Angola";"2005";"164.927352521199"
"Angola";"2004";"189.820085597553"
"Angola";"2003";"203.785221272034"
"Angola";"2002";"199.07728111405"
"Angola";"2001";"219.784509944871"
"Angola";"2000";"215.922567532855"
"Angola";"1999";"213.328202197302"
"Angola";"1998";"205.164631858186"
"Angola";"1997";"222.779246141929"
"Angola";"1996";"234.298338566576"
"Angola";"1995";"254.261237755742"
"Angola";"1994";"280.048170372223"
"Angola";"1993";"281.529615505327"
"Angola";"1992";"204.160377635705"
"Angola";"1991";"189.567401400237"
"Angola";"1990";"184.79340705099"
"Argentina";"2005";"152.053867925877"
"Argentina";"2004";"164.812338505583"
"Argentina";"2003";"169.649630045649"
"Argentina";"2002";"173.381723262389"
"Argentina";"2001";"161.608485219643"
"Argentina";"2000";"163.113081341276"
"Argentina";"1999";"160.292520703733"
"Argentina";"1998";"154.022816535732"
"Argentina";"1997";"155.693248487234"
"Argentina";"1996";"159.590095085249"
"Argentina";"1995";"162.988169548926"
"Argentina";"1994";"156.087416905247"
"Argentina";"1993";"153.650028597996"
"Argentina";"1992";"162.794398757372"
"Argentina";"1991";"173.221353169406"
"Argentina";"1990";"189.396954980866"
"Armenia";"2005";"203.670568799866"
"Armenia";"2004";"193.075480089911"
"Armenia";"2003";"200.822085615005"
"Armenia";"2002";"220.1406810973"
"Armenia";"2001";"266.883762188367"
"Armenia";"2000";"293.638350541117"
"Armenia";"1999";"276.895148509908"
"Armenia";"1998";"295.799664199448"
"Armenia";"1997";"311.40447971184"
"Armenia";"1996";"307.652875255312"
"Armenia";"1995";"304.045404071189"
"Armenia";"1994";"276.202774146878"
"Armenia";"1993";"463.328220794453"
"Armenia";"1992";"803.603037213468"
"Armenia";"1991";"912.215796768249"
"Armenia";"1990";"763.016675672755"
"Australia";"2005";"175.283389821016"
"Australia";"2004";"167.767303592134"
"Australia";"2003";"171.511113014811"
"Australia";"2002";"176.742864034715"
"Australia";"2001";"176.432352583842"
"Australia";"2000";"186.696022728371"
"Australia";"1999";"187.004218772389"
"Australia";"1998";"190.314776042902"
"Australia";"1997";"194.796160794242"
"Australia";"1996";"198.609624521161"
"Australia";"1995";"193.068108179125"
"Australia";"1994";"197.811137474412"
"Australia";"1993";"206.256312244976"
"Australia";"1992";"204.265213454085"
"Australia";"1991";"207.76656621614"
"Australia";"1990";"210.391600191995"
"Austria";"2005";"122.482962933841"
"Austria";"2004";"120.952122520754"
"Austria";"2003";"122.914614593092"
"Austria";"2002";"118.143634806476"
"Austria";"2001";"117.237333719442"
"Austria";"2000";"111.221332582451"
"Austria";"1999";"114.720563078278"
"Austria";"1998";"119.614813967975"
"Austria";"1997";"121.904387600242"
"Austria";"1996";"124.513517123624"
"Austria";"1995";"120.217637867935"
"Austria";"1994";"117.004957828016"
"Austria";"1993";"120.336048858236"
"Austria";"1992";"119.366082775773"
"Austria";"1991";"127.008302076582"
"Austria";"1990";"123.548826268836"
"Azerbaijan";"2005";"360.39010325818"
"Azerbaijan";"2004";"425.652623420757"
"Azerbaijan";"2003";"445.231728951653"
"Azerbaijan";"2002";"470.886658040618"
"Azerbaijan";"2001";"515.899602026101"
"Azerbaijan";"2000";"563.692941967376"
"Azerbaijan";"1999";"608.854598929585"
"Azerbaijan";"1998";"690.718549244885"
"Azerbaijan";"1997";"731.89759959556"
"Azerbaijan";"1996";"810.317967057261"
"Azerbaijan";"1995";"905.506565566687"
"Azerbaijan";"1994";"983.892172403539"
"Azerbaijan";"1993";"753.623404750325"
"Azerbaijan";"1992";"625.567643324685"
"Azerbaijan";"1991";"768.547166803719"
"Azerbaijan";"1990";"750.740063526324"
"Bahrain";"2005";"335.24827908005"
"Bahrain";"2004";"334.230585478378"
"Bahrain";"2003";"339.8005799655"
"Bahrain";"2002";"345.542031198329"
"Bahrain";"2001";"342.313025614937"
"Bahrain";"2000";"345.534837146548"
"Bahrain";"1999";"350.017845869882"
"Bahrain";"1998";"375.780866190605"
"Bahrain";"1997";"360.933823438856"
"Bahrain";"1996";"349.478394280791"
"Bahrain";"1995";"363.499696659467"
"Bahrain";"1994";"377.856352527668"
"Bahrain";"1993";"352.924481872068"
"Bahrain";"1992";"372.072522399021"
"Bahrain";"1991";"375.342647004126"
"Bahrain";"1990";"459.033860698422"
"Bangladesh";"2005";"147.726586851699"
"Bangladesh";"2004";"147.477361894637"
"Bangladesh";"2003";"151.168136905258"
"Bangladesh";"2002";"151.961710348499"
"Bangladesh";"2001";"154.400998027522"
"Bangladesh";"2000";"148.874122805875"
"Bangladesh";"1999";"149.959988174572"
"Bangladesh";"1998";"155.166717685499"
"Bangladesh";"1997";"156.459343464527"
"Bangladesh";"1996";"157.771175277952"
"Bangladesh";"1995";"164.078656939563"
"Bangladesh";"1994";"156.328719109113"
"Bangladesh";"1993";"156.194954398951"
"Bangladesh";"1992";"155.526672851285"
"Bangladesh";"1991";"155.513731982077"
"Bangladesh";"1990";"163.084630967514"
"Belarus";"2005";"318.47541899425"
