"Country or Area";"Year";"Value";"Value Footnotes"
"Albania";"2005";"185970000000";""
"Albania";"2004";"165097000000";""
"Albania";"2003";"141290000000";""
"Albania";"2002";"122044000000";""
"Albania";"2001";"107524000000";""
"Albania";"2000";"93452600000";""
"Albania";"1999";"74588300000";""
"Albania";"1998";"44375800000";""
"Albania";"1997";"33739200000";""
"Albania";"1996";"38782500000";""
"Algeria";"2006";"4134000000000";""
"Algeria";"2005";"3569700000000";""
"Algeria";"2004";"2462920000000";""
"Algeria";"2003";"2008950000000";""
"Algeria";"2002";"1605790000000";""
"Algeria";"2001";"1550900000000";""
"Algeria";"2000";"1734750000000";""
"Algeria";"1999";"911556000000";""
"Algeria";"1998";"652257000000";""
"Algeria";"1997";"837217000000";""
"Algeria";"1996";"781688000000";""
"Algeria";"1995";"533047000000";""
"Algeria";"1994";"342567000000";""
"Algeria";"1993";"252299000000";""
"Algeria";"1992";"266290000000";""
"Algeria";"1991";"246533000000";""
"Algeria";"1990";"129590000000";""
"Algeria";"1989";"78057900000";""
"Algeria";"1988";"49897000000";"1"
"Algeria";"1987";"45834000000";""
"Algeria";"1986";"38714200000";""
"Algeria";"1985";"68630000000";""
"Algeria";"1984";"67688000000";""
"Algeria";"1983";"65344000000";""
"Algeria";"1982";"64223000000";""
"Algeria";"1981";"66182000000";""
"Algeria";"1980";"55802000000";""
"Algeria";"1979";"39908000000";""
"Algeria";"1978";"26689000000";""
"Algeria";"1977";"26554000000";""
"Algeria";"1976";"24363000000";""
"Algeria";"1975";"20714000000";""
"Algeria";"1974";"21403000000";""
"Algeria";"1973";"8110000000";""
"Algeria";"1972";"6945000000";""
"Algeria";"1971";"4722000000";""
"Algeria";"1970";"5441000000";""
"Algeria";"1969";"4491000000";""
"Algeria";"1968";"4247000000";""
"Algeria";"1967";"3776000000";""
"Algeria";"1966";"3655000000";""
"Algeria";"1965";"3388000000";""
"Algeria";"1964";"3487000000";""
"Algeria";"1963";"3185000000";""
"Algeria";"1962";"1900000000";""
"Algeria";"1961";"5400000000";""
"Algeria";"1960";"5100000000";""
"Algeria";"1959";"2800000000";""
"Algeria";"1958";"2300000000";""
"Algeria";"1957";"2000000000";""
"Algeria";"1956";"1700000000";""
"Algeria";"1955";"1900000000";""
"Algeria";"1954";"1600000000";""
"Algeria";"1953";"1500000000";""
"Algeria";"1952";"1600000000";""
"Algeria";"1951";"1500000000";""
"Algeria";"1950";"1300000000";""
"Anguilla";"2005";"261400000";""
"Anguilla";"2004";"229200000";""
"Anguilla";"2003";"197000000";""
"Anguilla";"2002";"188670000";""
"Anguilla";"2001";"199670000";""
"Anguilla";"2000";"187240000";""
"Anguilla";"1999";"193590000";""
"Anguilla";"1998";"223940000";""
"Anguilla";"1997";"182540000";""
"Antigua and Barbuda";"2005";"1399690000";""
"Antigua and Barbuda";"2004";"1411820000";""
"Antigua and Barbuda";"2003";"1237520000";""
"Antigua and Barbuda";"2002";"1171040000";""
"Antigua and Barbuda";"2001";"1193080000";""
"Antigua and Barbuda";"2000";"1260530000";""
"Antigua and Barbuda";"1999";"1276640000";""
"Antigua and Barbuda";"1998";"1257930000";""
"Antigua and Barbuda";"1997";"1196880000";""
"Antigua and Barbuda";"1996";"1086810000";""
"Antigua and Barbuda";"1995";"1084340000";""
"Antigua and Barbuda";"1994";"1190040000";""
"Antigua and Barbuda";"1993";"1186070000";""
"Antigua and Barbuda";"1992";"1099620000";""
"Antigua and Barbuda";"1991";"998130000";""
"Antigua and Barbuda";"1990";"940440000";""
"Antigua and Barbuda";"1989";"816670000";""
"Antigua and Barbuda";"1988";"720020000";""
"Antigua and Barbuda";"1987";"615660000";""
"Antigua and Barbuda";"1986";"558450000";""
"Antigua and Barbuda";"1985";"409540000";""
"Antigua and Barbuda";"1984";"350160000";""
"Antigua and Barbuda";"1983";"253880000";""
