"Country or Area";"Year";"Value";"Value Footnotes"
"Afghanistan";"2006";"274318999552";""
"Afghanistan";"2005";"260404002816";""
"Afghanistan";"2004";"228424007680";""
"Afghanistan";"2003";"211518996480";""
"Afghanistan";"2002";"182862004224";""
"Albania";"2006";"514056716288";""
"Albania";"2005";"489577807872";""
"Albania";"2004";"463980494848";""
"Albania";"2003";"438130769920";""
"Albania";"2002";"414504026112";""
"Albania";"2001";"402822201344";""
"Albania";"2000";"376469323776";""
"Albania";"1999";"350856806400";""
"Albania";"1998";"318671028224";""
"Albania";"1997";"282760445952";""
"Albania";"1996";"314878001152";""
"Albania";"1995";"288614121472";""
"Albania";"1994";"265026732032";""
"Albania";"1993";"242254774272";""
"Albania";"1992";"221035380736";""
"Albania";"1991";"238184169472";""
"Albania";"1990";"328443101184";""
"Albania";"1989";"363224137728";""
"Albania";"1988";"330695147520";""
"Albania";"1987";"335458795520";""
"Albania";"1986";"338122670080";""
"Albania";"1985";"320079036416";""
"Albania";"1984";"314479280128";""
"Albania";"1983";"318465179648";""
"Albania";"1982";"314984792064";""
"Albania";"1981";"305963171840";""
"Albania";"1980";"289338818560";""
"Algeria";"2006";"330552999936";""
"Algeria";"2005";"320925466624";""
"Algeria";"2004";"304772513792";""
"Algeria";"2003";"289707720704";""
"Algeria";"2002";"271008153600";""
"Algeria";"2001";"258842542080";""
"Algeria";"2000";"252283191296";""
"Algeria";"1999";"246852435968";""
"Algeria";"1998";"239198093312";""
"Algeria";"1997";"227590946816";""
"Algeria";"1996";"225114685440";""
"Algeria";"1995";"216248500224";""
"Algeria";"1994";"208331898880";""
"Algeria";"1993";"210223906816";""
"Algeria";"1992";"214733307904";""
"Algeria";"1991";"210936446976";""
"Algeria";"1990";"213498429440";""
"Algeria";"1989";"211803996160";""
"Algeria";"1988";"202877386752";""
"Algeria";"1987";"204926664704";""
"Algeria";"1986";"206371258368";""
"Algeria";"1985";"205549060096";""
"Algeria";"1984";"198215106560";""
"Algeria";"1983";"187703705600";""
"Algeria";"1982";"178087002112";""
"Algeria";"1981";"167374995456";""
"Algeria";"1980";"162500001792";""
"Algeria";"1979";"161225342976";""
"Algeria";"1978";"150008004608";""
"Algeria";"1977";"137351307264";""
"Algeria";"1976";"130489409536";""
"Algeria";"1975";"120392392704";""
"Algeria";"1974";"114609930240";""
"Algeria";"1973";"106618929152";""
"Algeria";"1972";"102702694400";""
"Algeria";"1971";"80599195648";""
"Algeria";"1970";"90899693568";""
"Algeria";"1969";"83499425792";""
"Algeria";"1968";"77005348864";""
"Algeria";"1967";"69501771776";""
"Algeria";"1966";"63499214848";""
"Algeria";"1965";"66704338944";""
"Algeria";"1964";"62806032384";""
"Algeria";"1963";"59340873728";""
"Algeria";"1962";"44180795392";""
"Algeria";"1961";"55009423360";""
"Algeria";"1960";"63672324096";""
"Angola";"2006";"3729298944";""
"Angola";"2005";"3255213568";""
"Angola";"2004";"2698885888";""
"Angola";"2003";"2427430912";""
"Angola";"2002";"2349696512";""
"Angola";"2001";"2052306048";""
"Angola";"2000";"1989787520";""
"Angola";"1999";"1931606144";""
"Angola";"1998";"1870989824";""
"Angola";"1997";"1751784960";""
"Angola";"1996";"1623526400";""
"Angola";"1995";"1460005760";""
"Angola";"1994";"1322468992";""
"Angola";"1993";"1277747840";""
"Angola";"1992";"1696876288";""
"Angola";"1991";"1822638336";""
"Angola";"1990";"1844775552";""
"Angola";"1989";"1850326528";""
"Angola";"1988";"1842954752";""
"Angola";"1987";"1745222272";""
"Angola";"1986";"1617444224";""
"Angola";"1985";"1573389312";""
"Angola";"1984";"1520182912";""
"Angola";"1983";"1434134784";""
"Angola";"1982";"1376328960";""
"Angola";"1981";"1376328960";""
"Angola";"1980";"1470436992";""
"Antigua and Barbuda";"2006";"1939699200";""
"Antigua and Barbuda";"2005";"1796017792";""
"Antigua and Barbuda";"2004";"1705619968";""
"Antigua and Barbuda";"2003";"1591180032";""
"Antigua and Barbuda";"2002";"1511990016";""
"Antigua and Barbuda";"2001";"1474780032";""
"Antigua and Barbuda";"2000";"1468687360";""
"Antigua and Barbuda";"1999";"1421768960";""
"Antigua and Barbuda";"1998";"1365488896";""
"Antigua and Barbuda";"1997";"1307843456";""
"Antigua and Barbuda";"1996";"1246920832";""
"Antigua and Barbuda";"1995";"1168189952";""
"Antigua and Barbuda";"1994";"1219110016";""
"Antigua and Barbuda";"1993";"1146560000";""
"Antigua and Barbuda";"1992";"1087920000";""
"Antigua and Barbuda";"1991";"1078770048";""
"Antigua and Barbuda";"1990";"1057240000";""
"Antigua and Barbuda";"1989";"1031000000";""
"Antigua and Barbuda";"1988";"974729984";""
"Antigua and Barbuda";"1987";"924600000";""
"Antigua and Barbuda";"1986";"854030016";""
"Antigua and Barbuda";"1985";"757660032";""
"Antigua and Barbuda";"1984";"701600000";""
"Antigua and Barbuda";"1983";"639249984";""
"Antigua and Barbuda";"1982";"610680000";""
"Antigua and Barbuda";"1981";"609660032";""
"Antigua and Barbuda";"1980";"585740032";""
"Antigua and Barbuda";"1979";"539379968";""
"Antigua and Barbuda";"1978";"502480000";""
"Antigua and Barbuda";"1977";"482300000";""
"Argentina";"2006";"330533732352";""
"Argentina";"2005";"304763535360";""
"Argentina";"2004";"279141285888";""
"Argentina";"2003";"256023461888";""
"Argentina";"2002";"235235590144";""
"Argentina";"2001";"263996669952";""
"Argentina";"2000";"276172701696";""
"Argentina";"1999";"278369009664";""
"Argentina";"1998";"288123289600";""
"Argentina";"1997";"277441314816";""
"Argentina";"1996";"256626245632";""
"Argentina";"1995";"243186106368";""
"Argentina";"1994";"250307887104";""
"Argentina";"1993";"236504973312";""
"Argentina";"1992";"223314001920";""
"Argentina";"1991";"199492993024";""
"Argentina";"1990";"177060003840";""
"Argentina";"1989";"181412003840";""
"Argentina";"1988";"196113006592";""
"Argentina";"1987";"201259008000";""
"Argentina";"1986";"195567992832";""
"Argentina";"1985";"181289992192";""
"Argentina";"1984";"196173004800";""
"Argentina";"1983";"191927992320";""
"Argentina";"1982";"184768004096";""
"Argentina";"1981";"194405007360";""
"Argentina";"1980";"206133002240";""
"Argentina";"1979";"197916000256";""
"Argentina";"1978";"179560005632";""
"Argentina";"1977";"188033007616";""
"Argentina";"1976";"175840002048";""
"Argentina";"1975";"179461996544";""
"Argentina";"1974";"179512999936";""
"Argentina";"1973";"170099998720";""
"Argentina";"1972";"165448007680";""
"Argentina";"1971";"162796994560";""
"Argentina";"1970";"154079002624";""
"Argentina";"1969";"149525004288";""
"Argentina";"1968";"136329003008";""
"Argentina";"1967";"130057003008";""
"Argentina";"1966";"126034001920";""
"Argentina";"1965";"126871003136";""
"Argentina";"1964";"114743287808";""
"Argentina";"1963";"104188665856";""
"Argentina";"1962";"110029234176";""
"Argentina";"1961";"110974763008";""
"Argentina";"1960";"105261342720";""
"Armenia";"2006";"1621490532352";""
"Armenia";"2005";"1429885812736";""
"Armenia";"2004";"1254285770752";""
"Armenia";"2003";"1135100297216";""
"Armenia";"2002";"995702013952";""
"Armenia";"2001";"879701852160";""
"Armenia";"2000";"802965356544";""
"Armenia";"1999";"757229879296";""
"Armenia";"1998";"733039558656";""
"Armenia";"1997";"683168301056";""
"Armenia";"1996";"661209022464";""
"Armenia";"1995";"624575184896";""
"Armenia";"1994";"584261173248";""
"Armenia";"1993";"554327474176";""
"Armenia";"1992";"607815204864";""
"Armenia";"1991";"1044356071424";""
"Armenia";"1990";"1182736187392";""
"Aruba";"2003";"2836199936";""
"Aruba";"2002";"2792399872";""
"Aruba";"2001";"2866299904";""
"Aruba";"2000";"2886299904";""
"Aruba";"1999";"2783800064";""
"Aruba";"1998";"2751699968";""
"Aruba";"1997";"2579200000";""
"Aruba";"1996";"2392999936";""
"Aruba";"1995";"2364000000";""
"Aruba";"1994";"2125100032";""
"Aruba";"1993";"2004800000";""
"Aruba";"1992";"1927699968";""
"Aruba";"1991";"1853600000";""
"Aruba";"1990";"1782300032";""
"Aruba";"1989";"1591299968";""
"Aruba";"1988";"1459900032";""
"Aruba";"1987";"1247800064";""
"Australia";"2006";"827230388224";""
"Australia";"2005";"807842152448";""
"Australia";"2004";"785838702592";""
"Australia";"2003";"767961006080";""
"Australia";"2002";"738561818624";""
"Australia";"2001";"715343003648";""
"Australia";"2000";"689340022784";""
"Australia";"1999";"676229021696";""
"Australia";"1998";"650341515264";""
"Australia";"1997";"618336813056";""
"Australia";"1996";"591829925888";""
"Australia";"1995";"569424609280";""
"Australia";"1994";"546896609280";""
"Australia";"1993";"523491803136";""
"Australia";"1992";"502643884032";""
"Australia";"1991";"484429987840";""
"Australia";"1990";"483884892160";""
"Australia";"1989";"486698385408";""
"Australia";"1988";"468273790976";""
"Australia";"1987";"450126708736";""
"Australia";"1986";"426739302400";""
"Australia";"1985";"417242611712";""
"Australia";"1984";"399574695936";""
"Australia";"1983";"379282915328";""
"Australia";"1982";"362318692352";""
"Australia";"1981";"371106316288";""
"Australia";"1980";"359706689536";""
"Australia";"1979";"347892088832";""
"Australia";"1978";"337171283968";""
