"Country or Area";"Year";"Value";"Value Footnotes"
"Albania";"2006";"5733";""
"Albania";"2005";"5318";""
"Albania";"2004";"4921";""
"Albania";"2003";"4554";""
"Albania";"2002";"4244";""
"Albania";"2001";"4069";""
"Albania";"2000";"3719";""
"Albania";"1999";"3390";""
"Albania";"1998";"3029";""
"Albania";"1997";"2647";""
"Albania";"1996";"2879";""
"Albania";"1995";"2566";""
"Albania";"1994";"2280";""
"Albania";"1993";"2011";""
"Albania";"1992";"1770";""
"Albania";"1991";"1849";""
"Albania";"1990";"2464";""
"Albania";"1989";"2650";""
"Albania";"1988";"2369";""
"Albania";"1987";"2382";""
"Albania";"1986";"2401";""
"Albania";"1985";"2280";""
"Albania";"1984";"2224";""
"Albania";"1983";"2216";""
"Albania";"1982";"2149";""
"Albania";"1981";"2006";""
"Albania";"1980";"1769";""
"Algeria";"2006";"7376";""
"Algeria";"2005";"7062";""
"Algeria";"2004";"6610";""
"Algeria";"2003";"6217";""
"Algeria";"2002";"5788";""
"Algeria";"2001";"5515";""
"Algeria";"2000";"5327";""
"Algeria";"1999";"5174";""
"Algeria";"1998";"5012";""
"Algeria";"1997";"4783";""
"Algeria";"1996";"4725";""
"Algeria";"1995";"4531";""
"Algeria";"1994";"4360";""
"Algeria";"1993";"4401";""
"Algeria";"1992";"4495";""
"Algeria";"1991";"4421";""
"Algeria";"1990";"4431";""
"Algeria";"1989";"4340";""
"Algeria";"1988";"4110";""
"Algeria";"1987";"4123";""
"Algeria";"1986";"4155";""
"Algeria";"1985";"4168";""
"Algeria";"1984";"4021";""
"Algeria";"1983";"3788";""
"Algeria";"1982";"3572";""
"Algeria";"1981";"3271";""
"Algeria";"1980";"3000";""
"Algeria";"1979";"2820";""
"Algeria";"1978";"2502";""
"Algeria";"1977";"2210";""
"Algeria";"1976";"2039";""
"Algeria";"1975";"1836";""
"Angola";"2006";"2678";""
"Angola";"2005";"2335";""
"Angola";"2004";"1934";""
"Angola";"2003";"1745";""
"Angola";"2002";"1704";""
"Angola";"2001";"1504";""
"Angola";"2000";"1462";""
"Angola";"1999";"1424";""
"Angola";"1998";"1392";""
"Angola";"1997";"1318";""
"Angola";"1996";"1230";""
"Angola";"1995";"1114";""
"Angola";"1994";"1017";""
"Angola";"1993";"993";""
"Angola";"1992";"1331";""
"Angola";"1991";"1443";""
"Angola";"1990";"1454";""
"Angola";"1989";"1443";""
"Angola";"1988";"1419";""
"Angola";"1987";"1330";""
"Angola";"1986";"1229";""
"Angola";"1985";"1202";""
"Angola";"1984";"1162";""
"Angola";"1983";"1092";""
"Angola";"1982";"1045";""
"Angola";"1981";"1020";""
"Angola";"1980";"1031";""
"Antigua and Barbuda";"2006";"14251";""
"Antigua and Barbuda";"2005";"12948";""
"Antigua and Barbuda";"2004";"12139";""
"Antigua and Barbuda";"2003";"11222";""
"Antigua and Barbuda";"2002";"10628";""
"Antigua and Barbuda";"2001";"10350";""
"Antigua and Barbuda";"2000";"10196";""
"Antigua and Barbuda";"1999";"9820";""
"Antigua and Barbuda";"1998";"9467";""
"Antigua and Barbuda";"1997";"9142";""
"Antigua and Barbuda";"1996";"8749";""
"Antigua and Barbuda";"1995";"8213";""
"Antigua and Barbuda";"1994";"8584";""
"Antigua and Barbuda";"1993";"8083";""
"Antigua and Barbuda";"1992";"7656";""
"Antigua and Barbuda";"1991";"7550";""
"Antigua and Barbuda";"1990";"7236";""
"Antigua and Barbuda";"1989";"6833";""
"Antigua and Barbuda";"1988";"6225";""
"Antigua and Barbuda";"1987";"5690";""
"Antigua and Barbuda";"1986";"5093";""
"Antigua and Barbuda";"1985";"4406";""
"Antigua and Barbuda";"1984";"3954";""
"Antigua and Barbuda";"1983";"3472";""
"Antigua and Barbuda";"1982";"3195";""
"Antigua and Barbuda";"1981";"3014";""
"Antigua and Barbuda";"1980";"2657";""
"Antigua and Barbuda";"1979";"2255";""
"Antigua and Barbuda";"1978";"1953";""
"Antigua and Barbuda";"1977";"1763";""
"Argentina";"2006";"15795";""
"Argentina";"2005";"14286";""
"Argentina";"2004";"12826";""
"Argentina";"2003";"11573";""
"Argentina";"2002";"10522";""
"Argentina";"2001";"11720";""
"Argentina";"2000";"12095";""
"Argentina";"1999";"12059";""
"Argentina";"1998";"12441";""
"Argentina";"1997";"11985";""
"Argentina";"1996";"11035";""
"Argentina";"1995";"10388";""
"Argentina";"1994";"10613";""
"Argentina";"1993";"9950";""
"Argentina";"1992";"9308";""
"Argentina";"1991";"8240";""
"Argentina";"1990";"7166";""
"Argentina";"1989";"7169";""
"Argentina";"1988";"7574";""
"Argentina";"1987";"7625";""
"Argentina";"1986";"7317";""
"Argentina";"1985";"6734";""
"Argentina";"1984";"7177";""
"Argentina";"1983";"6870";""
"Argentina";"1982";"6460";""
"Argentina";"1981";"6505";""
"Argentina";"1980";"6402";""
"Argentina";"1979";"5720";""
"Argentina";"1978";"4863";""
"Argentina";"1977";"4829";""
"Argentina";"1976";"4312";""
"Argentina";"1975";"4227";""
"Armenia";"2006";"5797";""
"Armenia";"2005";"4952";""
"Armenia";"2004";"4203";""
"Armenia";"2003";"3693";""
"Armenia";"2002";"3161";""
"Armenia";"2001";"2732";""
"Armenia";"2000";"2421";""
"Armenia";"1999";"2222";""
"Armenia";"1998";"2107";""
"Armenia";"1997";"1927";""
"Armenia";"1996";"1815";""
"Armenia";"1995";"1656";""
"Armenia";"1994";"1488";""
"Armenia";"1993";"1350";""
"Armenia";"1992";"1414";""
"Armenia";"1991";"2334";""
"Armenia";"1990";"2530";""
"Australia";"2006";"35493";""
"Australia";"2005";"33993";""
"Australia";"2004";"32477";""
"Australia";"2003";"31268";""
"Australia";"2002";"29819";""
"Australia";"2001";"28718";""
"Australia";"2000";"27390";""
"Australia";"1999";"26611";""
"Australia";"1998";"25518";""
"Australia";"1997";"24247";""
"Australia";"1996";"23083";""
"Australia";"1995";"22082";""
"Australia";"1994";"21038";""
"Australia";"1993";"19931";""
"Australia";"1992";"18892";""
"Australia";"1991";"18014";""
"Australia";"1990";"17609";""
"Australia";"1989";"17306";""
"Australia";"1988";"16316";""
"Australia";"1987";"15414";""
"Australia";"1986";"14439";""
"Australia";"1985";"14038";""
"Australia";"1984";"13222";""
"Australia";"1983";"12234";""
"Australia";"1982";"11384";""
"Australia";"1981";"11176";""
"Australia";"1980";"10061";""
"Australia";"1979";"9029";""
"Australia";"1978";"8168";""
"Australia";"1977";"7413";""
"Australia";"1976";"6979";""
"Australia";"1975";"6444";""
"Austria";"2006";"35560";""
"Austria";"2005";"33537";""
"Austria";"2004";"32208";""
"Austria";"2003";"30851";""
"Austria";"2002";"29943";""
"Austria";"2001";"29294";""
"Austria";"2000";"28481";""
"Austria";"1999";"27000";""
"Austria";"1998";"25823";""
"Austria";"1997";"24696";""
"Austria";"1996";"23870";""
"Austria";"1995";"22861";""
"Austria";"1994";"22051";""
"Austria";"1993";"21036";""
"Austria";"1992";"20881";""
"Austria";"1991";"19898";""
"Austria";"1990";"18770";""
"Austria";"1989";"17456";""
"Austria";"1988";"16322";""
"Austria";"1987";"15296";""
"Austria";"1986";"14675";""
"Austria";"1985";"14064";""
"Austria";"1984";"13310";""
