"Country or Area";"Year";"Value"
"Australia";"2006";"536065.596907213"
"Australia";"2005";"529524.173044016"
"Australia";"2004";"524236.269232621"
"Australia";"2003";"518016.72717182"
"Australia";"2002";"509703.590627161"
"Australia";"2001";"507589.205790124"
"Australia";"2000";"495171.211385763"
"Australia";"1999";"484043.945758455"
"Australia";"1998";"473155.00076529"
"Australia";"1997";"459481.821325983"
"Australia";"1996";"447343.795600628"
"Australia";"1995";"442325.682471457"
"Australia";"1994";"429248.294847521"
"Australia";"1993";"426638.049744205"
"Australia";"1992";"422473.959214399"
"Australia";"1991";"417623.248605447"
"Australia";"1990";"416155.327967707"
"Austria";"2006";"91090.2517561901"
"Austria";"2005";"93259.6191692077"
"Austria";"2004";"91662.541461161"
"Austria";"2003";"93299.7647912789"
"Austria";"2002";"87165.9730498904"
"Austria";"2001";"85279.1455391789"
"Austria";"2000";"81135.8961919233"
"Austria";"1999";"81017.648125626"
"Austria";"1998";"82614.3854689276"
"Austria";"1997";"83259.1774239825"
"Austria";"1996";"83694.8416496744"
"Austria";"1995";"80623.927602983"
"Austria";"1994";"77339.5073842256"
"Austria";"1993";"76425.4710788674"
"Austria";"1992";"76524.8293174194"
"Austria";"1991";"83242.8205810846"
"Austria";"1990";"79171.5283329593"
"Belarus";"2006";"80995.696330081"
"Belarus";"2005";"75593.7559079063"
"Belarus";"2004";"74308.2353501236"
"Belarus";"2003";"69750.8381566132"
"Belarus";"2002";"68162.2158589511"
"Belarus";"2001";"68184.9172267158"
"Belarus";"2000";"69798.2138965839"
"Belarus";"1999";"71808.4125002861"
"Belarus";"1998";"75264.3109102697"
"Belarus";"1997";"77722.0510400283"
"Belarus";"1996";"74811.8234498192"
"Belarus";"1995";"72940.6653657307"
"Belarus";"1994";"81276.8725233439"
"Belarus";"1993";"96942.4309725112"
"Belarus";"1992";"110705.754662557"
"Belarus";"1991";"119505.34887033"
"Belarus";"1990";"127361.003032483"
"Belgium";"2006";"136970.020891384"
