"Country or Area";"Year";"Value";"Value Footnotes"
"Albania";"2005";"386790000000";""
"Albania";"2004";"333265000000";""
"Albania";"2003";"312931000000";""
"Albania";"2002";"276081000000";""
"Albania";"2001";"227507000000";""
"Albania";"2000";"199036000000";""
"Albania";"1999";"151910000000";""
"Albania";"1998";"141738000000";""
"Albania";"1997";"118365000000";""
"Albania";"1996";"110934000000";""
"Algeria";"2006";"1853000000000";""
"Algeria";"2005";"1820400000000";""
"Algeria";"2004";"1577140000000";""
"Algeria";"2003";"1254040000000";""
"Algeria";"2002";"1159170000000";""
"Algeria";"2001";"930678000000";""
"Algeria";"2000";"855222000000";""
"Algeria";"1999";"737629000000";""
"Algeria";"1998";"656079000000";""
"Algeria";"1997";"594683000000";""
"Algeria";"1996";"596710000000";""
"Algeria";"1995";"616099000000";""
"Algeria";"1994";"424503000000";""
"Algeria";"1993";"269126000000";""
"Algeria";"1992";"244492000000";""
"Algeria";"1991";"198354000000";""
"Algeria";"1990";"139110000000";""
"Algeria";"1989";"121066000000";""
"Algeria";"1988";"79453000000";"1"
"Algeria";"1987";"39961800000";""
"Algeria";"1986";"50832500000";""
"Algeria";"1985";"59462000000";""
"Algeria";"1984";"61558000000";""
"Algeria";"1983";"60286000000";""
"Algeria";"1982";"60233000000";""
"Algeria";"1981";"59079000000";""
"Algeria";"1980";"49338000000";""
"Algeria";"1979";"42082000000";""
"Algeria";"1978";"41954000000";""
"Algeria";"1977";"36335000000";""
"Algeria";"1976";"27394000000";""
"Algeria";"1975";"26400000000";""
"Algeria";"1974";"19571000000";""
"Algeria";"1973";"12560000000";""
"Algeria";"1972";"9203000000";""
"Algeria";"1971";"6880000000";""
"Algeria";"1970";"7008000000";""
"Algeria";"1969";"5071000000";""
"Algeria";"1968";"4113000000";""
"Algeria";"1967";"3226000000";""
"Algeria";"1966";"3320000000";""
"Algeria";"1965";"3529000000";""
"Algeria";"1964";"3683000000";""
"Algeria";"1963";"4292000000";""
"Algeria";"1962";"1800000000";""
"Algeria";"1961";"7100000000";""
"Algeria";"1960";"7900000000";""
"Algeria";"1959";"5700000000";""
"Algeria";"1958";"5000000000";""
"Algeria";"1957";"3800000000";""
"Algeria";"1956";"2800000000";""
"Algeria";"1955";"2500000000";""
"Algeria";"1954";"2200000000";""
"Algeria";"1953";"2100000000";""
"Algeria";"1952";"2300000000";""
"Algeria";"1951";"2200000000";""
"Algeria";"1950";"1600000000";""
"Anguilla";"2005";"448370000";""
"Anguilla";"2004";"369210000";""
"Anguilla";"2003";"299990000";""
"Anguilla";"2002";"270600000";""
"Anguilla";"2001";"290550000";""
"Anguilla";"2000";"335200000";""
"Anguilla";"1999";"321730000";""
"Anguilla";"1998";"273250000";""
"Anguilla";"1997";"224700000";""
"Antigua and Barbuda";"2005";"1675130000";""
"Antigua and Barbuda";"2004";"1537240000";""
"Antigua and Barbuda";"2003";"1445390000";""
"Antigua and Barbuda";"2002";"1369150000";""
"Antigua and Barbuda";"2001";"1325040000";""
"Antigua and Barbuda";"2000";"1345850000";""
"Antigua and Barbuda";"1999";"1429170000";""
"Antigua and Barbuda";"1998";"1322790000";""
"Antigua and Barbuda";"1997";"1291380000";""
"Antigua and Barbuda";"1996";"1298320000";""
"Antigua and Barbuda";"1995";"1200980000";""
"Antigua and Barbuda";"1994";"1169230000";""
"Antigua and Barbuda";"1993";"1118200000";""
"Antigua and Barbuda";"1992";"1067480000";""
"Antigua and Barbuda";"1991";"1004700000";""
"Antigua and Barbuda";"1990";"919100000";""
"Antigua and Barbuda";"1989";"915060000";""
"Antigua and Barbuda";"1988";"825660000";""
"Antigua and Barbuda";"1987";"799910000";""
"Antigua and Barbuda";"1986";"702180000";""
"Antigua and Barbuda";"1985";"505400000";""
"Antigua and Barbuda";"1984";"398230000";""
"Antigua and Barbuda";"1983";"316470000";""
"Antigua and Barbuda";"1982";"399050000";""
"Antigua and Barbuda";"1981";"321180000";""
"Antigua and Barbuda";"1980";"257600000";""
"Antigua and Barbuda";"1979";"187920000";""
"Antigua and Barbuda";"1978";"117320000";""
"Antigua and Barbuda";"1977";"93990000";""
"Argentina";"2006";"125713000000";""
"Argentina";"2005";"101310000000";""
"Argentina";"2004";"81142000000";""
"Argentina";"2003";"53385200000";""
"Argentina";"2002";"40010300000";""
"Argentina";"2001";"27434500000";""
"Argentina";"2000";"32738300000";""
"Argentina";"1999";"32702000000";""
"Argentina";"1998";"38659000000";""
"Argentina";"1997";"37406000000";""
"Argentina";"1996";"30123500000";""
"Argentina";"1995";"25997500000";""
"Argentina";"1994";"27288800000";""
"Argentina";"1993";"22027500000";"1"
"Argentina";"1992";"18823000000";""
"Argentina";"1991";"11074000000";""
"Argentina";"1990";"3194000000";""
"Argentina";"1989";"213438000";""
"Argentina";"1988";"6899000";""
"Argentina";"1987";"1767600";""
"Argentina";"1986";"631400";""
"Argentina";"1985";"332800";""
"Argentina";"1984";"37620";""
"Argentina";"1983";"6390";""
"Argentina";"1982";"1425";""
"Argentina";"1981";"551";""
"Argentina";"1980";"249";""
"Argentina";"1979";"122";""
"Argentina";"1978";"41";""
"Argentina";"1977";"21";""
"Argentina";"1976";"6";""
"Argentina";"1975";"1";""
"Argentina";"1974";"0";""
"Argentina";"1973";"0";""
"Argentina";"1972";"0";""
"Argentina";"1971";"0";""
"Argentina";"1970";"0";""
"Argentina";"1969";"0";""
"Argentina";"1968";"0";""
"Argentina";"1967";"0";""
"Argentina";"1966";"0";""
"Argentina";"1965";"0";""
"Argentina";"1964";"0";""
"Argentina";"1963";"0";""
"Argentina";"1962";"0";""
"Argentina";"1961";"0";""
"Argentina";"1960";"0";""
"Argentina";"1959";"0";""
"Argentina";"1958";"0";""
"Argentina";"1957";"0";""
"Argentina";"1956";"0";""
"Argentina";"1955";"0";""
"Argentina";"1954";"0";""
"Argentina";"1953";"0";""
"Argentina";"1952";"0";""
"Argentina";"1951";"0";""
"Argentina";"1950";"0";""
"Armenia";"2006";"968645000000";""
"Armenia";"2005";"907970000000";""
"Armenia";"2004";"803769000000";""
"Armenia";"2003";"812890000000";""
"Armenia";"2002";"634733000000";""
"Armenia";"2001";"542653000000";""
"Armenia";"2000";"521272000000";""
"Armenia";"1999";"491768000000";""
"Armenia";"1998";"504820000000";""
"Armenia";"1997";"468722000000";""
"Armenia";"1996";"370208000000";""
"Armenia";"1995";"324775000000";""
