"Country or Area";"Year";"Value";"Value Footnotes"
"Afghanistan";"2006";"1.7";""
"Afghanistan";"2005";"1";""
"Afghanistan";"2004";"0.1";"1"
"Afghanistan";"2003";"0.1";"1"
"Albania";"2006";"15";""
"Albania";"2005";"6";""
"Albania";"2004";"2.4";""
"Albania";"2003";"1";""
"Albania";"2002";"0.4";"1"
"Albania";"2001";"0.3";"1"
"Albania";"2000";"0.1";"1"
"Albania";"1999";"0.1";"1"
"Albania";"1998";"0.1";"1"
"Albania";"1997";"0.1";"1"
"Albania";"1996";"0";"1"
"Albania";"1995";"0";"1"
"Algeria";"2006";"7.4";""
"Algeria";"2005";"5.8";""
"Algeria";"2004";"4.6";""
"Algeria";"2003";"2.2";""
"Algeria";"2002";"1.6";""
"Algeria";"2001";"0.7";""
"Algeria";"2000";"0.5";"1"
"Algeria";"1999";"0.2";"1"
"Algeria";"1998";"0";"1"
"Algeria";"1997";"0";"1"
"Andorra";"2005";"32.6";""
"Andorra";"2004";"31";""
"Andorra";"2003";"15.1";""
"Andorra";"2000";"10.6";""
"Andorra";"1999";"7.6";""
"Andorra";"1998";"6.8";""
"Andorra";"1997";"3";""
"Andorra";"1996";"1.5";""
"Angola";"2005";"0.6";""
"Angola";"2004";"0.5";""
"Angola";"2002";"0.3";"1"
"Angola";"2001";"0.2";"1"
"Angola";"2000";"0.1";"1"
"Angola";"1999";"0.1";"1"
"Angola";"1998";"0";"1"
"Angola";"1997";"0";"1"
"Antigua and Barbuda";"2005";"35.6";""
"Antigua and Barbuda";"2004";"24.8";""
"Antigua and Barbuda";"2003";"17.6";""
"Antigua and Barbuda";"2002";"12.7";""
"Antigua and Barbuda";"2001";"9";""
"Antigua and Barbuda";"2000";"6.5";""
"Antigua and Barbuda";"1999";"5.3";""
"Antigua and Barbuda";"1998";"4.1";""
"Antigua and Barbuda";"1997";"3.5";""
"Antigua and Barbuda";"1996";"2.8";""
"Antigua and Barbuda";"1995";"2.2";""
"Argentina";"2006";"20.9";""
"Argentina";"2005";"17.8";"2"
"Argentina";"2004";"16.1";"2"
"Argentina";"2003";"12";"2"
"Argentina";"2002";"10.9";"2"
"Argentina";"2001";"9.8";"2"
"Argentina";"2000";"7.1";"2"
"Argentina";"1999";"3.3";"2"
"Argentina";"1998";"0.8";"2"
"Argentina";"1997";"0.3";"1,2"
"Argentina";"1996";"0.1";"1,2"
"Argentina";"1995";"0.1";"1,2"
"Argentina";"1994";"0";"1,2"
"Argentina";"1993";"0";"1,2"
"Armenia";"2006";"5.7";""
"Armenia";"2005";"5.3";""
"Armenia";"2004";"5";""
"Armenia";"2003";"4.6";""
"Armenia";"2002";"2";""
"Armenia";"2001";"1.6";""
"Armenia";"2000";"1.3";""
"Armenia";"1999";"1";""
"Armenia";"1998";"0.1";"1"
"Armenia";"1997";"0.1";"1"
"Armenia";"1996";"0.1";"1"
"Armenia";"1995";"0.1";"1"
"Armenia";"1994";"0";"1"
"Aruba";"2005";"24.1";""
"Aruba";"2004";"24.4";""
"Aruba";"2003";"24.8";""
"Aruba";"2002";"25.2";""
"Aruba";"2001";"25.6";""
"Aruba";"2000";"15.2";""
"Aruba";"1999";"4.4";""
"Aruba";"1996";"2.6";""
"Australia";"2006";"75.1";""
"Australia";"2005";"70.4";"2"
"Australia";"2004";"65.3";"2"
"Australia";"2003";"56.8";"2"
"Australia";"2002";"53.5";"2"
"Australia";"2001";"39.7";"2"
"Australia";"2000";"34.5";"2"
