"Country or Area";"Year";"Value"
"Albania";"2002";"25.4"
"Algeria";"1995";"22.6"
"Armenia";"2001";"50.9"
"Armenia";"1999";"55.05"
"Azerbaijan";"2001";"49.6"
"Azerbaijan";"1995";"68.1"
"Bangladesh";"2000";"49.8"
"Bangladesh";"1996";"51"
"Belarus";"2002";"18.5"
"Belarus";"2000";"41.9"
"Benin";"1999";"29.023"
"Benin";"1995";"26.454"
"Bolivia";"2002";"65.2"
"Bolivia";"1999";"62.7"
"Bolivia";"1997";"63.2"
"Bosnia and Herzegovina";"2002";"19.5"
"Brazil";"2003";"21.5"
"Brazil";"1998";"22"
"Bulgaria";"2001";"12.8"
"Bulgaria";"1997";"36"
"Burkina Faso";"2003";"46.4"
"Burkina Faso";"1998";"54.6"
"Burundi";"1998";"68"
"Burundi";"1990";"36.42"
"Cambodia";"2004";"35"
"Cambodia";"1997";"36.1"
"Cambodia";"1994";"47"
"Cameroon";"2001";"40.2"
"Cameroon";"1996";"53.3"
"Chad";"1996";"64"
"Chile";"1998";"17"
"Chile";"1996";"19.9"
"China";"1998";"4.6"
"China";"1996";"6"
"Colombia";"1999";"64"
"Colombia";"1995";"60"
"Costa Rica";"2004";"23.9"
"Costa Rica";"1992";"22"
"Dominican Republic";"2004";"42.2"
"Dominican Republic";"2000";"27.7"
"Ecuador";"1998";"46"
"Ecuador";"1995";"34"
"Egypt";"2000";"16.7"
"Egypt";"1996";"22.9"
"El Salvador";"2002";"37.2"
"El Salvador";"1995";"50.6"
"Eritrea";"1994";"53"
"Estonia";"1995";"8.9"
"Ethiopia";"2000";"44.2"
"Ethiopia";"1996";"45.5"
"Gambia";"2003";"61.3"
"Gambia";"1998";"57.6"
"Gambia";"1992";"64"
"Georgia";"2003";"54.5"
"Georgia";"2002";"52.1"
"Ghana";"2006";"28.5"
"Ghana";"1999";"39.5"
"Ghana";"1992";"50"
"Guatemala";"2000";"56.2"
"Guinea";"1994";"40"
"Guinea-Bissau";"2002";"65.7"
"Guyana";"1998";"35"
"Guyana";"1993";"43.2"
"Honduras";"2004";"50.7"
"Honduras";"1999";"52.5"
"Hungary";"1997";"17.3"
"Hungary";"1993";"14.5"
"India";"2000";"28.6"
"India";"1994";"36"
"Indonesia";"2004";"16.7"
"Indonesia";"1999";"27.1"
"Indonesia";"1996";"17.5"
"Jamaica";"2000";"18.7"
"Jamaica";"1995";"27.5"
"Jordan";"2002";"14.2"
"Jordan";"1997";"21.3"
"Kazakhstan";"2002";"15.4"
"Kazakhstan";"2001";"17.6"
"Kazakhstan";"1996";"34.6"
"Kenya";"1997";"52"
"Kenya";"1994";"40"
"Kyrgyzstan";"2005";"43.1"
"Kyrgyzstan";"2003";"49.9"
"Kyrgyzstan";"2001";"47.6"
"Lao People's Democratic Republic";"2003";"33"
"Lao People's Democratic Republic";"1998";"38.6"
"Lao People's Democratic Republic";"1993";"45"
"Latvia";"2004";"5.9"
"Latvia";"2002";"7.5"
"Lesotho";"1999";"68"
"Lesotho";"1993";"49.2"
"Madagascar";"1999";"71.3"
"Madagascar";"1997";"73.3"
"Malawi";"1998";"65.3"
"Malawi";"1991";"54"
"Mali";"1998";"63.8"
"Mauritania";"2000";"46.3"
"Mauritania";"1996";"50"
"Mexico";"2004";"17.6"
"Mexico";"2002";"20.3"
"Mexico";"2000";"24.2"
"Moldova";"2002";"48.5"
"Moldova";"2001";"62.4"
"Mongolia";"2002";"36.1"
"Mongolia";"1998";"35.6"
"Mongolia";"1995";"36.3"
"Morocco";"1999";"19"
"Morocco";"1991";"13.1"
"Mozambique";"2003";"54.1"
"Mozambique";"1997";"69.4"
"Nepal";"2004";"30.9"
"Nepal";"1996";"41.76"
"Nicaragua";"1998";"47.9"
"Nicaragua";"1993";"50.3"
"Niger";"1993";"63"
"Nigeria";"1993";"34.1"
"Pakistan";"1999";"32.6"
"Pakistan";"1993";"28.6"
"Panama";"1997";"37.3"
"Papua New Guinea";"1996";"37.5"
"Paraguay";"1990";"20.5"
"Peru";"2004";"53.1"
"Peru";"2001";"54.3"
"Philippines";"1997";"25.1"
"Philippines";"1994";"32.1"
"Poland";"1996";"14.6"
"Poland";"1993";"23.8"
"Romania";"1995";"25.4"
"Romania";"1994";"21.5"
"Russian Federation";"2002";"19.6"
"Russian Federation";"1998";"31.4"
"Russian Federation";"1994";"30.9"
"Rwanda";"2000";"60.3"
"Rwanda";"1993";"51.2"
"Senegal";"1992";"33.4"
"Sierra Leone";"2004";"70.2"
"Sri Lanka";"2002";"22.7"
"Sri Lanka";"1996";"25"
"Sri Lanka";"1991";"20"
"Swaziland";"2001";"69.2"
"Tajikistan";"1999";"74.9"
"Thailand";"1998";"13.6"
"Thailand";"1994";"9.8"
"The former Yugoslav Republic of Macedonia";"2003";"21.7"
"The former Yugoslav Republic of Macedonia";"2002";"21.4"
"Trinidad and Tobago";"1992";"21"
"Tunisia";"1995";"7.6"
"Tunisia";"1990";"7.4"
"Turkey";"2002";"27"
"Turkey";"1994";"28.3"
"Uganda";"2003";"37.7"
"Uganda";"2000";"33.8"
"Ukraine";"2003";"19.5"
"Ukraine";"2000";"31.5"
"United Republic of Tanzania";"2001";"35.7"
"United Republic of Tanzania";"1991";"38.6"
"Uzbekistan";"2000";"27.5"
"Viet Nam";"2002";"28.9"
"Viet Nam";"1998";"37.4"
"Yemen";"1998";"41.8"
"Zambia";"2004";"68"
"Zambia";"1998";"72.9"
"Zimbabwe";"1996";"34.9"
"Zimbabwe";"1991";"25.8"
