"Country or Area";"Subgroup";"Year";"Source";"Unit";"Value";"Value Footnotes"
"Afghanistan";"Female 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"9.5";"1"
"Afghanistan";"Male 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"7.6";"1"
"Albania";"Female 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"17.5";"2"
"Albania";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"18.3";"2"
"Albania";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"28.4";"3"
"Albania";"Male 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"12.4";"2"
"Albania";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"13.2";"2"
"Albania";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"18.8";"3"
"Algeria";"Female 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"17.5";"4"
"Algeria";"Female 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"21.3";"5"
"Algeria";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"25.4";"6"
"Algeria";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"31.4";"6"
"Algeria";"Male 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"14.9";"4"
"Algeria";"Male 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"19.8";"5"
"Algeria";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"23.4";"6"
"Algeria";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"26.6";"6"
"Anguilla";"Female 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"9.5";"7"
"Anguilla";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"7.1";"8"
"Anguilla";"Female 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"12.4";"9"
"Anguilla";"Female 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"8.3";"8"
"Anguilla";"Male 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"6.3";"7"
"Anguilla";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"6.5";"8"
"Anguilla";"Male 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"4.7";"9"
"Anguilla";"Male 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"6.0";"8"
"Argentina";"Female 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"12.5";"10"
"Argentina";"Female 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"14.5";"11"
"Argentina";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"18.7";"11"
"Argentina";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"18.4";"12"
"Argentina";"Female 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"16.8";"12"
"Argentina";"Female 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"16.0";"12"
"Argentina";"Female 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"15.4";"12"
"Argentina";"Female 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"17.2";"12"
"Argentina";"Female 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"21.9";"12"
"Argentina";"Female 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"8.6";"13"
"Argentina";"Female 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"15.5";"12"
"Argentina";"Female 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"12.3";"12"
"Argentina";"Female 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"6.3";"12"
"Argentina";"Female 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"5.8";"12"
"Argentina";"Female 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"6.4";"12"
"Argentina";"Female 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"7.8";"14"
"Argentina";"Female 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"7.2";"14"
"Argentina";"Female 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"6.6";"14"
"Argentina";"Male 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"9.2";"10"
"Argentina";"Male 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"11.2";"11"
"Argentina";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"14.1";"11"
"Argentina";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"19.7";"12"
"Argentina";"Male 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"13.3";"12"
"Argentina";"Male 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"13.4";"12"
"Argentina";"Male 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"11.8";"12"
"Argentina";"Male 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"12.4";"12"
"Argentina";"Male 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"16.7";"12"
"Argentina";"Male 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"5.6";"13"
"Argentina";"Male 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"11.5";"12"
"Argentina";"Male 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"7.8";"12"
"Argentina";"Male 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"6.8";"12"
"Argentina";"Male 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"4.9";"12"
"Argentina";"Male 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"5.7";"12"
"Argentina";"Male 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"7.0";"14"
"Argentina";"Male 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"5.3";"14"
"Argentina";"Male 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"4.5";"14"
"Armenia";"Female 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"34.4";"15"
"Armenia";"Male 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"38.0";"15"
"Aruba";"Female 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"8.4";"16"
"Aruba";"Female 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"8.3";"16"
"Aruba";"Male 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"6.8";"16"
"Aruba";"Male 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"5.6";"16"
"Australia";"Female 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"5.3";"17"
"Australia";"Female 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"5.7";"17"
"Australia";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"6.1";"17"
"Australia";"Female 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"6.2";"17"
"Australia";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"6.5";"18"
"Australia";"Female 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"6.1";"17"
"Australia";"Female 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"6.7";"17"
"Australia";"Female 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"7.4";"17"
"Australia";"Female 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"8.2";"17"
"Australia";"Female 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"8.2";"17"
"Australia";"Female 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"8.1";"17"
"Australia";"Female 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"9.4";"17"
"Australia";"Female 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"10.1";"17"
"Australia";"Female 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"10.0";"17"
"Australia";"Female 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"9.2";"17"
"Australia";"Female 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"7.2";"17"
"Australia";"Female 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"6.8";"17"
"Australia";"Female 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"7.9";"17"
"Australia";"Female 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"8.6";"17"
"Australia";"Female 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"8.7";"17"
"Australia";"Female 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"8.8";"17"
"Australia";"Male 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"4.9";"17"
"Australia";"Male 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"5.4";"17"
"Australia";"Male 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"6.0";"17"
"Australia";"Male 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"6.6";"17"
"Australia";"Male 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"7.0";"18"
"Australia";"Male 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"6.5";"17"
"Australia";"Male 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"7.1";"17"
"Australia";"Male 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"8.0";"17"
"Australia";"Male 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"8.7";"17"
"Australia";"Male 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"8.8";"17"
"Australia";"Male 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"8.8";"17"
"Australia";"Male 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"10.0";"17"
"Australia";"Male 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"11.5";"17"
"Australia";"Male 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"11.4";"17"
"Australia";"Male 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"9.9";"17"
"Australia";"Male 15+ yr";"1990";"ILO_KILM Database 5ed_2007";"Percent";"6.7";"17"
"Australia";"Male 15+ yr";"1989";"ILO_KILM Database 5ed_2007";"Percent";"5.7";"17"
"Australia";"Male 15+ yr";"1988";"ILO_KILM Database 5ed_2007";"Percent";"6.8";"17"
"Australia";"Male 15+ yr";"1987";"ILO_KILM Database 5ed_2007";"Percent";"7.8";"17"
"Australia";"Male 15+ yr";"1986";"ILO_KILM Database 5ed_2007";"Percent";"7.7";"17"
"Australia";"Male 15+ yr";"1985";"ILO_KILM Database 5ed_2007";"Percent";"7.9";"17"
"Austria";"Female 15+ yr";"2005";"ILO_KILM Database 5ed_2007";"Percent";"5.5";"19"
"Austria";"Female 15+ yr";"2004";"ILO_KILM Database 5ed_2007";"Percent";"5.4";"19"
"Austria";"Female 15+ yr";"2003";"ILO_KILM Database 5ed_2007";"Percent";"4.1";"19"
"Austria";"Female 15+ yr";"2002";"ILO_KILM Database 5ed_2007";"Percent";"3.9";"19"
"Austria";"Female 15+ yr";"2001";"ILO_KILM Database 5ed_2007";"Percent";"3.8";"19"
"Austria";"Female 15+ yr";"2000";"ILO_KILM Database 5ed_2007";"Percent";"3.8";"19"
"Austria";"Female 15+ yr";"1999";"ILO_KILM Database 5ed_2007";"Percent";"3.8";"19"
"Austria";"Female 15+ yr";"1998";"ILO_KILM Database 5ed_2007";"Percent";"4.6";"19"
"Austria";"Female 15+ yr";"1997";"ILO_KILM Database 5ed_2007";"Percent";"4.6";"19"
"Austria";"Female 15+ yr";"1996";"ILO_KILM Database 5ed_2007";"Percent";"4.5";"19"
"Austria";"Female 15+ yr";"1995";"ILO_KILM Database 5ed_2007";"Percent";"4.3";"19"
"Austria";"Female 15+ yr";"1994";"ILO_KILM Database 5ed_2007";"Percent";"4.0";"19"
"Austria";"Female 15+ yr";"1993";"ILO_KILM Database 5ed_2007";"Percent";"4.5";"20"
"Austria";"Female 15+ yr";"1992";"ILO_KILM Database 5ed_2007";"Percent";"3.8";"20"
"Austria";"Female 15+ yr";"1991";"ILO_KILM Database 5ed_2007";"Percent";"3.5";"20"
